	C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
aDC	0.0037362	0	0.035919251	3.27E-18	1.29E-18	0.00036952	0.004575003	0.000671555	0.036234216	0.004062131	0	0	0.010723848	0	0	4.01E-18	0.040930355	0.003494671	0	0	0.005385193	0.008024263	1.94E-18	0.008764936	3.67E-19	0.006803029	0.102709156	0.005716224	0.00472624	2.16E-18	0.045979529	0.022047417	0.024590422	5.67E-19	2.81E-18	0.005077142	0.029956026	0	0.009068893	0	0	1.74E-18	0	0.071420287	0.000962408	3.59E-20	2.08E-19	0.033482063	0.034463005	0.002404704	0	1.04E-18	6.09E-19	0.002534006	3.34E-19	0	9.39E-19	0.005331369	0.0057617	6.63E-19	0	0.009063879	0.044864473	0	0	0.000208845	0	0.002577027	0.048456154	0.003712399	0	0	0	0.003076162	0	0.005294476	0	0.009249207	0.06537037	0.001927029	0.01083015	0.024080746	0	0.02253518	0.045563596	8.49E-20	0.040712076	0.003539183	0.005428644	0.002230124	0.00868231	0.015948223	4.48E-19	0.018229578	1.88E-18	0.000982932	0.004502284	0	9.06E-19	0.013958027	0	0	0	0.012514289	0.010752429	0.014864026	0	0	0.003398837	0.012636943	0.049031423	0	0.003013558	6.01E-19	1.84E-19	0.09636462	0	0.022616611	0.054229507	7.06E-21	4.72E-19	0.075516528	0.076672958	7.27E-19	0.002741962	0
Adipocytes	1.16E-18	6.42E-20	0	6.85E-19	0	0	4.34E-19	6.61E-19	0	0	0	2.46E-19	5.06E-19	0	0	2.00E-19	1.06E-18	0	0	0	0	4.95E-21	0	2.75E-20	0	0	3.58E-19	4.35E-19	0	6.77E-19	0	0	5.54E-20	1.25E-19	0	0	0	0	0	1.02E-20	8.51E-19	1.35E-19	2.82E-18	1.14E-18	6.97E-19	0	2.26E-19	6.16E-20	0	6.45E-19	2.25E-19	0	1.34E-19	0	2.66E-20	0	5.80E-19	0	3.79E-19	0	1.47E-19	0	6.22E-20	7.00E-20	0	0	7.42E-19	5.23E-19	4.41E-20	0	7.73E-19	3.85E-20	0	4.28E-20	1.55E-19	1.50E-19	0	0	0	1.37E-19	3.26E-19	1.25E-19	9.37E-20	0	0	1.21E-19	0	7.23E-20	0	3.88E-19	1.88E-19	1.91E-19	0	3.92E-21	9.03E-19	0	0	3.40E-18	9.33E-19	0	1.43E-18	7.03E-19	1.93E-19	0	0	9.42E-19	7.37E-19	0	0	5.06E-19	0	1.39E-19	1.01E-19	0	4.20E-18	0	1.86E-19	0	2.11E-20	1.67E-19	0	0	0	7.14E-19	0	0
Astrocytes	0	0	5.31E-19	0	1.70E-17	1.91E-17	1.24E-17	0	0	0	0	0	8.53E-18	0	0	0	0	6.61E-18	0	0	0	0	1.63E-17	0	0	0	0	2.72E-18	8.39E-18	1.59E-17	0	0	7.50E-18	0	0	0	1.15E-18	0	0	0	1.46E-19	0	0	3.40E-18	3.28E-18	0	0	1.10E-18	3.03E-18	0	0	7.69E-18	0	1.40E-18	0	0	1.13E-18	4.46E-18	2.97E-18	3.75E-20	1.10E-18	2.45E-18	1.25E-18	7.69E-18	1.51E-19	0	0	0	2.55E-18	3.31E-18	1.04E-17	1.61E-18	7.70E-18	0	3.20E-19	0	0	6.82E-18	1.70E-17	0	0	0	0	2.45E-20	6.69E-18	7.04E-18	0	0	4.04E-18	8.80E-19	1.71E-18	0	0	2.43E-18	0	2.55E-18	2.16E-18	8.30E-18	1.67E-18	4.41E-18	2.41E-18	0	0	1.91E-18	0	3.28E-18	0	0	0	0	5.19E-18	0	0	0	0	0	0	1.25E-17	6.41E-18	7.29E-18	0	0	1.35E-19	1.42E-18	9.43E-18	1.60E-17
B-cells	0.005564548	0.035618926	0.052069931	0.270901757	0.19419404	0.111247635	0.071747644	0.078114912	0.130445171	0.160012058	0.067316892	0.151317695	0.093507445	0.112936133	0.091630648	0.211031978	0.039007248	0.139806703	0.171623708	0.209025849	0.088272326	0.023316838	0.14465431	0.053230551	0.266910307	0.085150644	0.205477539	0.134194172	0.111568705	0.162085894	0.066614099	0.129387928	0.115563238	0.158087808	0.189575805	0.040123332	0.024965035	0.003036994	0.137849549	0.143831817	0.114686934	0.117308909	0.126775908	0.174760328	0.101007699	0.117428847	0.020491829	0.089342759	0.017279473	0.083407071	0.108504532	0.057982388	0.07708828	0.062975888	0.025598466	0.009987954	0.032567643	0.050486582	0.144618153	0.052916171	0.053519256	0.026622623	0.027497965	0.092379235	0.010036642	0.037162338	0.056892611	0.060086094	0.032953247	0.025890553	0.050392354	0.15013051	0.005652659	0.132010729	0.070082873	0.102901485	0.093685526	0.047835479	0.057014633	0.113365313	0	3.42E-20	0.068069939	0.098826685	0.166573949	0.092727059	0.084442388	0.05387079	0.078415151	0.015877873	0	0.070529591	0.01410654	0.029374193	0.072695429	0.094605518	0.072184232	0.229653458	0.112538963	0.036060515	0.158291723	0.030676475	0.103933399	0.066370734	0.054475925	0.038699384	0.052539126	0.244479421	0.14385869	0.00389219	0.082736202	0.02185576	0.041304345	0.051767648	0.231796563	0.148547209	0.219431652	0.211689461	0.010895943	0.006397969	0.023376163	0.030001586	0.074897853	0.115313479	0.104985061	0.265524742
Basophils	0.010758741	0.047684472	0.048172772	0.007542712	0	0	0.015288956	0.020547164	0.043276637	2.33E-18	0.029540391	0	0.024755043	0.019149153	0.038316135	1.75E-18	0.04770146	0.030418266	3.85E-18	4.28E-18	0.018739242	0.019975281	4.42E-18	0.031442404	1.99E-18	0.015931261	0.01682078	8.06E-20	0	0	0	0	8.56E-19	0.011629166	1.52E-18	0.004403389	0.043081619	0.023898186	0	0.028321146	0.009596024	0.009868454	0	9.19E-19	2.40E-17	0.010503068	0.030719386	0.033511261	0.061096174	0.032772631	0.005881351	0	0.033116568	0.033014736	0.014022066	0	0.046548681	0.030967203	0.024849746	0.043446476	0.021738262	0	0.04131288	6.10E-23	0.099008331	0.051247312	0.0289949	0.02864292	0.022320487	0.019566196	0.006399387	0.034037331	0.048778196	0.00188836	0.054262537	0.015385179	0.042644137	0.059427556	0.090328568	0.003836023	0.035654408	0.04997331	0.022717685	0.096690812	0.077802852	0.029754722	0.079897967	0.013558671	0.023537125	0.006944066	0.026489219	4.79E-20	1.89E-18	0.035834757	1.67E-19	0.038481636	0.043647345	7.43E-19	0.022829539	0.008344483	0	0.037664352	8.99E-19	0.031799941	0.023154152	0.021827166	5.71E-18	0.023269226	0.007155364	0.028715932	3.41E-19	0.013755923	0.036526798	0.008665328	0.020057952	0	6.53E-18	0	5.96E-19	0.038447639	0.010739305	0.027941629	0.005264693	1.40E-17	0.025773465	0
CD4+ memory T-cells	0.004087777	1.39E-19	2.98E-18	0.024802448	0.115189873	0.019318072	0.009308493	0.006732349	3.27E-23	0.002145331	0.03651494	0.002579551	7.08E-19	0.013130625	0.004782932	0.0266941	1.86E-20	0.025086567	0.012191421	0.052328538	0.030722234	0.042820218	0.042992647	0.030015599	0.015669389	0	7.49E-19	2.94E-18	0.018842609	0.051985733	0.01236244	0	0.035619882	0.007000543	0.013339831	0.016933559	0	0.040642294	0.011577982	0.026597319	0	0	0.024658861	8.70E-23	0.012621117	2.42E-21	4.09E-19	1.01E-18	0	1.08E-19	0	2.51E-19	0.000541477	0	0	0	0	0	0	0	9.03E-20	1.97E-18	2.34E-18	0.001994322	0	0	0.004419206	0	0.001919107	0	0	0.006564891	1.34E-19	0.005557646	0.004342135	0.003116991	0.00503869	0	0	0.002903816	0	5.94E-19	0.000825596	0	5.40E-18	0	0	0.004554138	0	0.002740983	0	3.35E-20	0	3.33E-19	0	0	3.75E-19	6.00E-19	0	0	6.88E-19	0.0022078	0	0	9.11E-19	0	2.76E-19	7.58E-19	0.006500817	0	0	4.24E-19	3.87E-20	1.34E-18	0	0	3.65E-05	0	0	0	0	5.79E-20	0	0.01220196	1.35E-18	0.060748297
CD4+ naive T-cells	0.014171154	0	5.75E-19	0.036849724	0.044689513	0.002986296	0	0.012297736	1.14E-18	0	0.025847167	3.22E-20	0.003199938	0.008643179	0	0.024889595	0	0	0.056309819	0.039046982	0.015934545	0.05439289	0.02223681	0.038264483	0.005208855	1.29E-18	0.003321907	0	0.019708048	0.044922193	0	0.012656364	0.039735284	0.002541593	0.01268685	0.01731615	0	0	0.005978708	0.024458562	0	5.92E-19	0.039286426	0	0.060482008	0.006641027	0.014335926	0	0	0	0	0.006743513	4.16E-19	0	0	0	8.56E-19	0	2.24E-18	0	3.04E-18	2.25E-18	5.13E-18	0	0	4.66E-19	0	2.83E-18	6.86E-19	0	0	0	3.89E-18	1.46E-18	0	0.010766553	0	4.82E-18	9.25E-20	0	5.67E-20	6.62E-19	1.75E-18	1.84E-18	0	0	0	0	0	0	0	3.34E-19	7.66E-18	6.39E-19	2.08E-18	0	0	0.016003808	0	1.59E-19	0.041083571	0	0.004720234	0	0	9.96E-19	0.012546781	0	0.015418636	2.20E-18	0	1.48E-18	0	0	0.004406166	0.010179662	0.029916953	0.000266613	7.51E-19	0	0	6.79E-18	0	0.033783551	0.003651982	0.070458227
CD4+ T-cells	0.017185258	7.15E-18	0	0.052450768	0.109725109	0.027136416	0.002656656	0.016892204	0	0.007603295	0.042213215	0	0	0.023211384	0.003335635	0.032437179	0	0.023223892	0.042951997	0.075420143	0.037959012	0.066824009	0.044615157	0.056964494	0.017638676	1.90E-19	0	0	0.031891821	0.070207939	0.016514089	0.003081973	0.063479966	0.014617141	0.019515965	0.035118631	3.08E-20	0.054233789	0.010544572	0.036608385	0	0.003422903	0.045463552	0	0.060970859	0.015217072	0.003146634	0	1.74E-18	0	1.69E-18	0.004842545	0.000270505	0	0	1.47E-18	8.92E-21	4.64E-20	0.002992934	4.81E-18	0	6.33E-18	1.55E-18	2.36E-18	0.000122202	6.55E-18	0	0.000209376	0	2.03E-18	2.52E-18	1.38E-19	3.94E-18	0.001198358	0	0.021446004	0.011087687	2.70E-18	6.60E-18	4.21E-22	0	0	2.59E-19	0	5.54E-18	4.21E-18	1.00E-17	0.002439549	3.82E-18	0.006682641	6.43E-18	0	8.62E-18	2.83E-18	1.49E-18	0	2.69E-18	0.017886017	0	4.06E-18	0.027139606	0	0.003166806	8.08E-20	0	0	0.012191481	9.41E-18	0.022291703	0	3.32E-19	6.68E-20	5.77E-19	0	2.18E-18	0.008838225	0.025588264	1.57E-20	1.01E-17	5.02E-18	0	0	0	0.049375937	0.00086743	0.094892084
CD4+ Tcm	0.011144473	2.99E-18	0	0.047358528	0.064736018	0	1.61E-18	0	0	3.34E-18	0.030403558	0	1.23E-18	0.027946759	1.68E-20	0.022716775	1.06E-18	1.01E-18	0.005474464	0.073814729	0.011368306	0.038436361	0.012996359	0.051755299	0.009076167	0	2.73E-19	0	0.001142284	0.024099095	0	0	0.041235389	0.042557338	0.005811115	0.02899949	9.13E-18	0.019591252	0	0.021754204	0	0	0.014094925	7.77E-19	0.025854712	0.007928818	0	5.10E-19	0	6.64E-18	0	0.01247324	4.44E-21	1.50E-21	1.33E-18	0	1.92E-19	2.21E-18	0	4.11E-18	1.29E-18	5.76E-18	0	0	0	1.01E-18	0.000266636	0	4.65E-19	4.29E-19	5.27E-05	1.74E-19	4.41E-18	0	2.24E-19	0.010110331	0.0067727	0	0	0	1.13E-17	0	6.69E-19	0	1.05E-19	0	1.18E-17	8.45E-19	0	1.22E-18	3.60E-18	0	2.72E-18	0	4.11E-19	0.009515079	6.27E-19	0.007882527	0	0	0.031723958	2.94E-18	0	7.50E-19	7.58E-19	0	0	0	0.025645263	1.02E-18	0	9.51E-19	0.012055823	0	0.011119673	0.015984226	0.021041932	0.044613176	2.70E-18	1.90E-19	0	3.44E-18	0	0.039504845	0.032765543	0.077830564
CD4+ Tem	0.020942577	7.11E-19	0.002379592	0.018364042	0.059501025	1.65E-18	0	0.005958281	0	2.37E-18	0.020624517	0	0	0.00281548	8.13E-19	0.00803573	4.71E-19	5.55E-19	0.017550121	0.028592431	0.037274548	0.076729154	0	0.031005858	1.61E-19	0	3.81E-20	1.16E-18	0.01590296	0.060392913	0.006471043	0.032285609	0.014894184	0.005512192	0	0.045797636	2.36E-18	0.06839288	0.02209928	0.026450825	1.13E-18	0	0.077520471	5.03E-19	0.069525157	3.87E-20	0.023372523	0	0.008449223	6.62E-19	0	6.86E-18	0.004314799	0	0	0	0	1.01E-17	0	1.41E-18	0	4.29E-18	8.85E-19	0	4.01E-18	0	0.000762213	7.29E-18	0	0	1.94E-18	0	3.69E-18	0	0	0.037947198	1.14E-18	1.84E-17	0.020818667	3.77E-18	0	0.004033582	0	0	0.031983341	0	0	0	0	8.00E-19	2.64E-17	0	0	6.05E-18	0.031760009	0	0	0.04722267	0	0.011632001	0.058727574	0.00695209	0.032343451	5.18E-18	3.64E-21	5.78E-18	0.060395715	7.07E-18	0.003933132	0.010863638	3.03E-18	0.023651403	0.010217258	0.055318717	0.042106318	0.048206858	0.036375734	0.05198042	3.45E-18	1.51E-18	0.013872497	0.04579987	0.037594976	0.037578166	0.012003771	0.051560511
