	cluster	aDC	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	iDC	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Memory B-cells	MEP	Monocytes	mv Endothelial cells	Myocytes	naive B-cells	Neutrophils	NK cells	NKT	pDC	Plasma cells	Platelets	pro B-cells	Tgd cells	Th1 cells	Th2 cells	Tregs
C1	cluster1	0.0037362	0.005564548	0.010758741	0.004087777	0.014171154	0.017185258	0.011144473	0.020942577	0	0.039876108	0.055668327	0.025247383	0.023865776	0.000716393	6.29E-20	0.00198066	0.001448029	0.000990862	2.08E-19	2.12E-20	0.031079379	0.023154817	0.020027955	0.003089507	0.001931492	0.00501966	0.012717268	0.002486357	0.000455551	1.79E-20	0.003579737	0.018414998	0.001375036	0.040044126	9.04E-06	0.018020932	2.43E-21	0.001009467	0.023106479	0.011629949	0.000432503
C10	cluster1	0	0.035618926	0.047684472	1.39E-19	0	7.15E-18	2.99E-18	7.11E-19	0	1.45E-18	7.77E-21	0.006915987	0	0.032695068	0	0.007277076	0.020982027	0.005689687	0	0	0.013397269	0.005646255	0.003899963	0	0.022386554	0.00495839	8.86E-18	0.008889992	0.004376563	0.005900539	0.006509573	0	0.006142088	0.006620152	0.020640011	0.035638075	0.01469018	9.91E-19	0.039053183	0.026396307	0
C100	cluster1	0.035919251	0.052069931	0.048172772	2.98E-18	5.75E-19	0	0	0.002379592	0.004623546	0.073400428	0.051754446	0.038370671	0.01404786	0.016187914	0	0.001744876	0.006248111	0.003445213	0	1.16E-18	0.014991761	0.01135559	0.011718299	0.002483968	0.040093489	0.034750052	0	0.00633256	2.22E-19	0.005139249	0.006098951	0.012756873	0.022743068	0.028105184	0.029928626	0.034944029	0	9.27E-18	0.067290345	0.015045623	0
C101	cluster1	3.27E-18	0.270901757	0.007542712	0.024802448	0.036849724	0.052450768	0.047358528	0.018364042	0.011094199	0.124159708	0.093739681	0.019125053	0.046772092	0.059706752	0.002380222	2.01E-20	0.034246203	0.002804559	0.057496805	0	0.002345983	0	0.004063089	0.005710994	0.146870795	0.0420218	0	0.001308993	0.000687184	0.074382187	0	1.45E-18	0	4.21E-19	0.01690219	0.002495938	0.013438664	9.45E-18	0.045479549	0.031238047	6.33E-18
C102	cluster2	0.033482063	0.089342759	0.033511261	1.01E-18	0	0	5.10E-19	0	2.99E-19	0.086007194	0.099140346	0.063063184	0	0.047203118	5.30E-19	0.006745159	2.68E-19	0.000438754	4.41E-19	0.000224023	0.014795485	0.011817321	6.91E-05	0.001276322	0.028657774	0	9.98E-19	0.00163032	0.001499894	0.0342245	0.009916852	0.029261889	0.001717965	0.007158947	0.011994127	0.014379184	0	6.50E-18	0.005593054	0.052589568	0
C103	cluster2	0.034463005	0.017279473	0.061096174	0	0	1.74E-18	0	0.008449223	1.23E-19	0.009353289	0.027436348	0	0	0.012342572	0	0.006961829	0.009648717	0.01074618	5.14E-18	0.001273878	0.020388304	0.013820756	0.004695383	0.001864302	0.010366143	0.025834688	0	0.015647428	0.001027072	0.00240532	0.009973676	3.77E-18	0.034403132	0.028699812	0.01203413	0.035857103	2.55E-20	0	0.014306219	0.016692929	0.002880044
C11	cluster1	1.29E-18	0.19419404	0	0.115189873	0.044689513	0.109725109	0.064736018	0.059501025	0.004730858	0.201449608	0.200420373	0.067706988	0.039851632	0.091299987	0.001446605	2.63E-19	3.85E-19	0	0.014120961	1.29E-20	0	0	0.000688846	0.002250858	0.083352176	0.019864832	0	0	0.001925948	0.043031882	0	0.032518885	0	0.004804619	0.033895931	0.018368061	0.001785413	0.001133752	0.00477228	0.147949443	0.027223279
C12	cluster2	0.002404704	0.083407071	0.032772631	1.08E-19	0	0	6.64E-18	6.62E-19	0	0.040704496	0.056139679	0.026100866	0.007457682	0.064406037	2.77E-19	0.005516122	2.35E-19	0.001880042	1.55E-18	0	0.015106437	0.005080956	0.002434783	0.00125731	0.037865221	7.12E-19	6.17E-18	0.002747904	0.003307022	0.019500151	0.006678148	0.016253671	0.029432718	0.009765147	0.012892004	0.016744011	0.002160234	0	1.07E-17	0.080676089	5.00E-19
C13	cluster1	0.00036952	0.111247635	0	0.019318072	0.002986296	0.027136416	0	1.65E-18	0.005716716	0.166273276	0.134454442	0.044189713	0.043785783	0.075149037	0.000845532	0	0.001992538	0.001139303	0.016559788	9.47E-20	0.002806626	0.00070627	0.004246335	0	0.055047538	0.019900498	1.58E-18	0	0.003216214	0.00945044	5.61E-05	0.017788197	0.007269933	0.011865837	0.044254445	0.01448236	0	0	0.007207466	0.104885688	2.39E-18
C14	cluster2	0	0.108504532	0.005881351	0	0	1.69E-18	0	0	0	3.72E-20	0.000555708	4.66E-18	0	0.083021449	6.76E-20	0.004301799	5.20E-19	0.004669255	2.99E-18	4.08E-20	0.000578687	0.00029049	0	0.000673585	0.045385309	0.002143172	2.07E-18	0.000619328	0.000592196	0.025209553	0.007746327	0	0.025679652	0.007607036	0.023229793	0.04475832	0.007186688	3.07E-18	5.44E-18	0.040210457	0.005807608
C15	cluster2	1.04E-18	0.057982388	0	2.51E-19	0.006743513	0.004842545	0.01247324	6.86E-18	2.00E-18	0.054360491	0.036823111	1.89E-18	0	0.054778624	3.41E-19	0.006012439	0.015169786	0.005007502	1.31E-17	0	4.04E-19	7.65E-19	9.40E-19	0.003886192	0.021045525	0.000384332	1.02E-18	0.001953819	0.000899551	0.023315917	0.00407092	7.37E-18	0.026948341	0	0.001034514	0.10649705	4.12E-18	0	0	0.032818334	0.011885676
C16	cluster1	0.004575003	0.071747644	0.015288956	0.009308493	0	0.002656656	1.61E-18	0	0	0.142469911	0.127729773	0.067952124	0.051061667	0.055585125	0.00087782	0	0.003449129	0	0.008201234	8.56E-20	0.007220446	0.002902695	0.007861691	0.006403679	0.032134305	0.008515781	1.34E-18	6.08E-20	0.001415116	0.012438881	1.88E-19	0.058988806	0	0.014257	0.019622033	0.032594582	9.13E-20	0.001209549	0.009515068	0.076165164	0
C17	cluster1	0.000671555	0.078114912	0.020547164	0.006732349	0.012297736	0.016892204	0	0.005958281	1.39E-20	0.146142489	0.135947759	0.071082748	0.043448266	0.053936206	0.000294055	0.000410737	0.016290752	0.001413018	0.014866762	3.51E-19	0.002285331	0.000641987	0.001359686	0.004922283	0.041833198	0.013571461	7.48E-19	0.002422114	1.10E-20	0.012576254	0.002973516	0.021109225	0.008244339	0.01128244	0.017101465	0.011936191	0	0	0.002306389	0.116671095	2.04E-21
C18	cluster1	0.036234216	0.130445171	0.043276637	3.27E-23	1.14E-18	0	0	0	3.75E-19	0.072858364	0.072360321	0.048842846	0.068836096	0.07497235	0.001988442	0.000583891	0.019045528	0.002121026	0.007140848	2.75E-19	0.020345037	0.008389054	0.011968478	0.005937498	0.06595547	0.016328992	3.25E-19	0.002976949	0.003050822	0.025374908	0.003001773	0.00387342	0.006425676	0.017701884	0.013878628	0.009629251	0.003892502	0	0.014257669	0.042610861	0
C19	cluster1	0.004062131	0.160012058	2.33E-18	0.002145331	0	0.007603295	3.34E-18	2.37E-18	0	0.071424788	0.070358368	0.028763012	0.075344837	0.093208158	3.70E-21	0	0.010706399	0.000838034	0.011328443	0	0.005355251	0.00203643	0.005612003	0.005847367	0.07787099	0.006065541	0	0	0.005690622	0.034678019	0.002569241	0.020819623	0	0.01424604	0.011938988	0.012015207	0.002691187	0	0	0.063387307	0
C2	cluster2	6.09E-19	0.07708828	0.033116568	0.000541477	4.16E-19	0.000270505	4.44E-21	0.004314799	0	0.078855955	0.074807448	0.021172971	0.020715057	0.064829193	0.00024156	0.001265952	0.031167596	0.005196161	0.034972171	3.25E-19	0.00921487	0.003333754	0.001193763	0.005722668	0.035824857	0.011112138	1.64E-18	0.000833348	0.000189485	0.012814093	1.24E-19	1.19E-18	0.001085959	0.006502764	0.014034754	0.066095029	0.004220676	1.56E-18	0.013825767	0.05259026	0
C20	cluster2	0.002534006	0.062975888	0.033014736	0	0	0	1.50E-21	0	0	0.013353837	0.024241902	0.002075405	0.010744794	0.083004321	1.30E-19	0.002370037	0.010049296	0.003701906	2.83E-19	0	0.000517693	0.00014813	0	0.000745968	0.023133954	0	0	0.001099945	0.004401322	0.008060629	0.007955445	0.002997212	0.024785032	0.003276237	0.023687671	0.024314462	0.007128183	0	0	0.026418431	0.010490378
C21	cluster2	3.34E-19	0.025598466	0.014022066	0	0	0	1.33E-18	0	0	0.025158395	0.031308857	0.007486219	0.001512631	0.044337611	0	0.001070767	0	0.002836576	0	0	0.003803504	0.001295462	3.10E-05	0	0.005384804	1.86E-19	2.70E-18	0	0.005402413	0.007667876	0.006891038	0.019435644	0.01614786	0.001116842	0.012513462	0.049782626	0	5.16E-18	8.17E-19	0.034131258	0.011870647
C22	cluster2	0	0.009987954	0	0	0	1.47E-18	0	0	0	1.09E-18	0	5.26E-19	0.005833976	0.040446836	9.20E-19	0.005502955	0.032013931	0.004517219	0	0.000552534	0.012262237	0.002142785	0.002198548	9.68E-21	0	0.015406393	1.40E-18	0.001053291	0.002196053	0.008572656	0.008130628	0	4.48E-20	0	0.018171775	0.01929301	2.23E-18	1.72E-18	5.53E-18	0.069692079	0.003847558
