symbol	cluster	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-G
C1	cluster1	130813.02	247615.35	146027.21	3025	3468	90.49	49	10302	5628.87	221.04	196.96	863.44	10.56	31764	18659.51	443.14	139290.19	11036.34	130.51
C10	cluster1	101546.37	211422.28	136418.61	1643	1704	212.1	479	3551.15	3112.78	400.62	414.38	577.1	5.02	11453	6622.2	263.94	184501.35	13489.65	471.45
C100	cluster1	184976.69	253369.18	129762.2	4300	2878	156.29	333	8764	7420.14	1003.07	6.93	1545.23	2.77	23720	18081.09	1613.86	158296.48	7997.84	81.88
C101	cluster1	85665.69	225998.43	100685.4	5794	4962	1988	1298	16008	13565.49	3451.12	61.88	7924.47	25.28	48114	24686.28	1314.24	114648.05	6123.97	118.94
C11	cluster1	63683.07	96995.29	54251.99	2009	2278	1027.26	678	7275	5638.25	2701.86	1040.14	3736.31	2.69	28222	11198.47	398.84	83588.03	4507.6	60.85
C13	cluster1	95094.06	174054.35	62032.17	2363	2839	517.42	427	7714	4807.31	642.02	71.98	1108.14	14.86	33171	10534.56	866.02	113601.02	4795.3	81.45
C16	cluster1	83582.85	153278.43	62827.56	4004	4346	543.52	361	14003.63	9785.52	3247.92	1413.08	6480.64	5.36	47216	19324.13	395.23	102339.97	5308.29	64.89
C17	cluster1	54888.03	140695.24	69587	2025	2737	439.96	155	9079	6504.71	1078.69	1207.31	1571.22	10.78	25532	13506.37	114.88	98404.99	7891.09	127.73
C18	cluster1	81481.32	191880.59	85456.93	3149	3180	588.94	394	10018	8609.91	1520.78	1986.22	2089.92	17.14	31458	17366.52	121.56	121759.28	8547.14	249.71
C19	cluster1	49740.4	139483.25	56720.2	3263	3994	639.79	454	10199	6892.16	2396.81	112.19	1885.39	19.65	45062	14539.01	6018.36	93625.51	3841.5	18.11
C25	cluster1	86743.89	168672.29	81390.84	2436	2467	470.32	276	8706	6308.86	2247.2	117.8	3275	10.9	28167	14146.8	654.26	120701.99	7331.2	121.65
C30	cluster1	55172.69	146111.76	63457.27	1404	1394	564.39	416	3834	3543	1407	0	3265	0	16761	6204.18	4949.61	91505.64	2709.12	42.48
C33	cluster1	100058.27	192077.6	144329.46	2051	2049	273.02	207	3877	2308.13	968.77	467.23	2108.18	0.82	14739	9055.73	3496.43	146275.17	9327.97	238.33
C34	cluster1	73047.88	160550.24	86012.91	2108	2380	330.88	256	5123.13	4121.25	1408.7	96.3	2412.64	12.36	22982	9057.91	3341.41	86866.58	5078.16	31.18
C35	cluster1	172018.31	411677.79	182267.68	1684	1673	320.2	288	3717	2607.15	980.68	35.32	3297.68	5.32	15951	6096.98	199.58	229929.05	11463.42	187.86
C4	cluster1	59261.79	123115.71	49181.28	3021	3665	895.16	703	9517	8275.92	1401.05	854.95	1994.05	12.95	41849	18531.07	82.74	93293.98	6066.81	125.48
C51	cluster1	141638.98	275923.32	97739.24	4498	4636	344.13	300	12280	8974.78	1303.09	14.91	5329.81	9.21	38291	24192.94	9860.13	182870.42	7945.46	77.46
C53	cluster1	69131.13	111779.42	59216.27	1510	1649	414.71	843	5027	3624	950.45	861.55	869.52	14.48	17670	8071.98	215.04	83318.18	2096.95	17.27
C57	cluster1	86694.18	178593.07	91684.34	2652	3201	1068.2	492	10043	8002.76	1874.02	63.98	3151.42	31.58	31589	15278.12	518.7	139252.19	9763.75	85.53
C59	cluster1	62398.92	136132.93	70690.73	2272	2605	1020.21	1002	7871.03	5103.12	2103.22	256.78	2954.02	3.98	31036	8970.61	617.19	92717.34	5890.32	22.57
C6	cluster1	82343.01	179679.91	106399.29	2542	2417	499.96	338	7227.93	6088.63	2697.5	56.5	2727.83	8.08	25769	10136.33	4839.17	117504.1	7980.23	110.99
C60	cluster1	95081.26	160018.06	74337.03	3527	3589	675.78	185	11229	10924.15	4228.98	1817.02	8131	0	39502	19578.97	1434.69	104154.82	7546.82	28.24
C61	cluster1	73788.07	169663.7	108760	2464	2638	554.45	496	7454	5488	1348.84	1249.16	2320.74	12.14	32771	12436.48	903.89	116864.4	3547.17	16.13
C62	cluster1	118569.58	200854.05	139317.95	1897	2118	198.98	220	4606	3161.42	1103.96	22.04	3469.4	4.6	13976	9266.37	469.31	144658.25	9313.43	217.52
C63	cluster1	85226.4	211636.73	145880.66	1533	1532	1141.77	817	4115.45	2768.64	1480.45	33.55	2007.49	11.51	16510	7541.97	2735	126178.19	4599.27	52.7
C65	cluster1	136668.28	237062.64	137062.21	1659	1445	315.32	301	4755	3019.04	618.21	10.79	1046.38	0.62	14643	6946.24	286.55	164665.4	7363.92	139.42
C66	cluster1	155859.02	290472.95	175930.58	4117	3051	485.33	735	11997	9783.22	1636.62	1775.38	2451.92	11.08	24667	30527.52	1589.54	154350.13	11519.3	427.3
C67	cluster1	159728.49	268583.2	128501.64	1376	839	194.03	207	4012	3674.13	611.82	766.18	746.04	2.96	6893	6848.88	96.62	180153.41	9619.45	113.65
C69	cluster1	69051.53	144214.72	65555.01	3009	3350	479.18	283	9939	5369.66	1008.94	1057.06	1683	0	30899	17553.86	22.6	87149.84	5665.34	42.37
C7	cluster1	83334.48	121169.93	67504.52	1809	2233	704.77	564	5508	4849.23	1808.42	221.58	3368.97	10.03	19850	9356.01	3460.84	95105.28	5616.46	8.09
C70	cluster1	102595.03	216980.43	112316.07	4108	3910	264.82	283	15668	10064.2	2304.5	185.5	2113.6	27.4	46797	24298.87	9847.71	123224.82	7168.06	47.66
C72	cluster1	148596.79	274952.78	134786.85	5059	5168	602.81	634	16617.14	15453.17	1785.26	22.74	8324.13	24.87	34752	35466.07	10764.48	142233.29	13370.64	345.2
