symbol	cluster	IGHA1	IGHA2	IGHD	IGHE	IGHG1	IGHG2	IGHG3	IGHG4	IGHM	IGHMBP2
C1	cluster1	0	0	9	0	2	0	0	0	66	328
C10	cluster1	16672.48	1653.52	293	6	65106.11	7149.05	4286.22	1720.62	15527	335
C100	cluster1	33716.92	870.08	167	14	17299.34	4327.37	2836.2	337.09	6050	243
C101	cluster1	5132.5	2282.5	1452	396	37050.47	932.41	2320.44	544.68	13278	458
C102	cluster2	3137.91	770.09	214	0	1344.44	1337.76	296.19	73.61	3933	217
C103	cluster2	2296.93	617.07	58	1	2422.36	452.1	1211.25	74.29	2848	368
C11	cluster1	21846.52	1276.48	469	46	73930.94	3702.74	7205.17	645.15	14546	421
C12	cluster2	5021.02	376.98	72	2	39937.26	1915	2780.92	361.82	13594	228
C13	cluster1	24395.61	2416.39	170	19	27007.84	3073.16	5645.98	152.02	5344	289
C14	cluster2	3236.63	300.37	215	2	43890.79	1140.36	3609.57	424.28	9716	130
C15	cluster2	2284.93	487.07	102	5	20194.07	6562.8	1582.6	425.53	2197	235
C16	cluster1	20124.52	871.48	154	165	63981.33	7532.76	9187.15	20618.77	22048	439
C17	cluster1	17143.49	1530.51	169	4	43332.13	2526.28	4681.68	1315.91	9116	356
C18	cluster1	9600.25	1046.75	414	6	56553.87	8688	5017.89	894.24	9272	211
C19	cluster1	4210.03	292.97	270	5	36116.99	3003.47	3893.64	587.91	8139	269
C2	cluster2	5671.67	918.33	253	7	41783.75	8681.3	4902.52	950.43	9984	214
C20	cluster2	4382.65	1223.35	137	14	55205.29	7406.92	4043.84	905.95	4330	291
C21	cluster2	2683.23	352.77	94	1	12739.07	1631.27	3133.77	242.89	3369	388
C22	cluster2	561.92	873.08	49	4	6183.32	2679.82	431.31	346.55	986	80
C23	cluster2	1017.95	54.05	71	1	2784.05	451.21	980.69	71.04	844	197
C24	cluster2	4789.54	346.46	84	2	33084.31	3814.95	3324.57	561.17	3953	141
C25	cluster1	18743.33	2345.67	578	13	24519.68	29942.65	3948.46	844.21	4003	345
C26	cluster2	3223.18	114.82	239	0	39389.2	1369.84	1294.02	302.94	4450	146
C27	cluster2	28294.5	2718.5	49	5	43095.7	2923.62	4383.07	620.61	6500	173
C28	cluster2	12853.62	1237.38	109	5	29972.84	7997.49	1673.94	551.73	7544	275
C29	cluster2	3879.99	242.01	109	5	18528.45	4133.22	2466.27	543.06	1516	118
C3	cluster2	158.4	19.6	64	1	133.89	12.63	13.89	2.59	453	281
C30	cluster1	3982.72	578.28	247	0	63145.01	1540.71	2847.58	347.71	2441	301
C31	cluster2	12500.42	2234.58	179	1	42805.39	1520.43	3332.7	660.48	18214	217
C32	cluster2	2220.28	326.72	58	8	24019.9	2252.01	3578.52	389.56	3951	217
C33	cluster1	49186.17	3809.83	224	57	122069.24	6877.03	7698.66	4950.07	40180	402
C34	cluster1	5116.62	704.38	156	18	23769.04	5026.87	1999.27	711.83	2844	228
C35	cluster1	82367.51	8773.49	3772	255	239675.03	62540.86	23759.43	6641.67	25505	466
C36	cluster2	9853.4	347.6	52	8	25807.58	3375.15	4002.34	702.93	7471	216
C37	cluster2	1738.76	227.24	36	0	7080.44	887.93	864.97	154.65	1434	208
C38	cluster2	8768.3	3195.7	120	11	24637.08	713.3	2330.28	156.34	2917	115
C39	cluster2	12585.63	2000.37	183	4	24864.45	4432.28	3695.14	648.14	3529	160
C4	cluster1	2299.44	541.56	579	4	4864.08	723.99	662.78	75.14	6351	268
C40	cluster2	13831.47	1473.53	174	32	59482.3	7449.16	7298.77	1097.77	12303	162
C41	cluster2	25776.78	5734.22	147	9	32707.96	16409.42	4494.52	1624.1	6650	142
C42	cluster2	8651.68	462.32	370	11	53560.43	7155.81	3443.03	1408.74	20168	197
