symbol	cluster	TGFA	TGFB1	TGFB1I1	TGFB2	TGFB3	TGFBI	TGFBR1	TGFBR2	TGFBR3	TGFBR3L	TGFBRAP1
C1	cluster1	686	6487	16	0	30	8874	2989	8044	526	0	858.27
C10	cluster1	1226	6970	72	3	20	1964	3555	8520	219	2	836.15
C100	cluster1	1468	6933	33	5	34	3410	3753	4561	383	0	402.73
C101	cluster1	730	4316	21	9	74	6452	2928	5784	235	1	629.21
C102	cluster2	2677	6571	23	3	22	208	7314	16535	527	1	367.53
C103	cluster2	3096	7864	26	2	16	1978	4526	5713	92	1	212.84
C11	cluster1	427	2762	16	22	80	4731	2952	8204	1564	0	1125.72
C12	cluster2	2222	3296.98	21	1	31	1651	5929	10972	301	0	669.14
C13	cluster1	1530	2613	9	5	49	4683	3935	8023	717.01	1	695.25
C14	cluster2	2366	3345	5	1	30	364	6975	7998	144	0	327.62
C15	cluster2	1512	4114	83	10	20	724	5438	10948	97	0	330.09
C16	cluster1	953	4227	30	11	84	8013	4500	10190	1676	0	1092.99
C17	cluster1	945	3454	16	11	32	3182	2866	9453	692	0	570.13
C18	cluster1	885	4799	34	8	35	5359	3475	8658	672	0	732.03
C19	cluster1	1225	2751	7	6	36	4726	5286	11164	542	0	640.11
C2	cluster2	640	3646	40	3	25	3127	1884	5532	305	1	518
C20	cluster2	1842	3591	16	1	15	680	4200	13302	185	0	446.41
C21	cluster2	3467	3421	13	8	15	690	7486	12756	283	0	367.72
C22	cluster2	2424	2283	8	1	3	438	6836	11064	25	0	237.44
C23	cluster2	3038	2946	11	9	12	1119	4974	10087	45	0	269.33
C24	cluster2	1875	4057	12	3	6	1463	5435	11329	98	0	407.28
C25	cluster1	938	5100.03	30	14	49	5595	4102	8289	526	0	955.31
C26	cluster2	2461	3228	17	4	22	819	4021	11151	278	0	390.29
C27	cluster2	2678	4942	29	2	34	705	6160	10576	596	0	652.46
C28	cluster2	4950	3213	10	4	7	462	4418	10142	71	0	299.16
C29	cluster2	1582	3627	32	4	4	1867	3564	5885	38	0	213.82
C3	cluster2	1545	5106	2	1	9	1514	4507	6543	106	0	330.47
C30	cluster1	1776	2486	35	6	49	4704	3452	6790	329	0	570.3
C31	cluster2	2162	3800	48	4	19	288	4342	6772	76	0	317.68
C32	cluster2	605	5004	96	6	14	1631	1885	3445	395	0	589.59
C33	cluster1	1100	7015	61	7	31	2613	2404	5762	226	0	583.31
C34	cluster1	1633	2861	19	1	31	3806	2727	11587	424	1	567.9
C35	cluster1	2485	7900	83	11	45	1801	7991	14789	385	0	802.91
C36	cluster2	1287	3287	26	1	21	997	3585	6275	124	0	305.93
C37	cluster2	921	1764	8	5	19	1456	2351	5437	256	1	229.06
C38	cluster2	1809	2681	19	7	8	465	3013	5783	47	0	192.1
C39	cluster2	1916	3891	24	4	6	787	2778	5914	42	0	279.29
C4	cluster1	683	3428	20	11	54	6928	2704	9810	675	0	818.24
C40	cluster2	2986	3075	15	3	24	1004	5193	7472	266	0	458.9
C41	cluster2	1843	7676	52	3	6	766	3871	7669	28	0	274.42
C42	cluster2	2157	4865	17	10.02	17	1456	5421	8474	145	0	405.36
C43	cluster2	1813	5210	65	0	3	115	3480	4914	61	0	216.41
C44	cluster2	1268	3089	41	3	17	2554	4893	9283	146	0	471.19
C45	cluster2	3644	3469	24	3	12	1210	6276	10913	242	0	277.69
C46	cluster2	1350	4105	11	3	10	5578	3221	5177	240	0	441.9
