symbol	cluster	TNFAIP1	TNFAIP2	TNFAIP3	TNFAIP6	TNFAIP8	TNFAIP8L1	TNFAIP8L2	TNFAIP8L3	TNFRSF10A	TNFRSF10B	TNFRSF11B	TNFRSF12A	TNFRSF13B	TNFRSF13C	TNFRSF14	TNFRSF17	TNFRSF18	TNFRSF19	TNFRSF21	TNFRSF25	TNFRSF4	TNFRSF6B	TNFRSF8	TNFRSF9	TNFSF10	TNFSF11	TNFSF12	TNFSF13	TNFSF13B	TNFSF14
C1	cluster1	548.88	20387	2083	3096	2925.27	279.11	2587	34.42	386.05	3031.64	1	132	0	22.9	2811	0	18	1	43	219	12	3	524	118.7	42181.08	4	1345.2	5236.48	12099.85	2481.73
C10	cluster1	424.01	17140	4605	3209	4001.26	333.62	3059	4.14	224.6	963.02	2	169	111	201.49	2850	385	8	14	8.05	85	4	2	187	114.24	12166.87	0	520.15	2419.57	3042.8	2370.33
C100	cluster1	354.33	13691	1688	4304	4047.31	391.97	4309	28.17	160.3	1124.35	0	89	180	117.27	2049	457	27	3	20.68	157	7	3	329	65.64	31382.83	1	663.08	2964.21	8715.97	1970.34
C101	cluster1	442.69	15950.03	1324	664	4188.08	615.03	3483	4.3	240.13	1945.67	1	77	222	714.37	2628	297	36	3	22	419	24	1	369	122.51	11163	5	961.1	2673.42	2978.57	1223.4
C11	cluster1	463.18	13269	3260	1135	5021.92	613.51	1234	10.93	539.39	2852.96	0	58	246	470.56	1530	1322	21	9	18	501	11	2	238	261.57	7453.99	20	583.89	1568.2	1796.01	1194.7
C13	cluster1	505.64	12249	3014	3505	4102.08	445.61	2135	8.09	485.46	3012.92	0	72	328	162.1	1534	1963	17	2	13.81	165	12	1	249	165.24	22774.93	1	520.35	2777.14	8038.49	2073.24
C16	cluster1	516.73	16580.94	1856	1011	4658.19	494.37	2136	16.43	359.39	3014.2	1	88	181	168.06	1597	792	12	13	43.01	168	6	7	393	251.64	12361.76	3	845.12	3656.09	3821.55	1759.86
C17	cluster1	383.56	23395	1507	1884	2532.17	340.74	2059	14.04	266.95	2615.49	0	124	132	155.03	2568	415	18	11	20	231	12	3	509	515.06	9890.72	5	817.15	2541.72	2435	2213.08
C18	cluster1	381.78	20239	1670	1825	2969.12	301.47	2289	26.15	212.01	2604.64	0	138	154	260.94	2015	346	14	6	15	162	7	1	540	124.23	13763.37	1	894.64	2738.07	3109.71	2051.48
C19	cluster1	471.08	21260.94	2098	1199	4200.31	333.55	2424	4.14	225.09	3306.45	0	112	179	310.25	997	456	6	5	17.03	50	1	0	282	309.94	14428.11	2	651.46	2716.65	4080.72	3100.25
C25	cluster1	543.35	20934	1454	774	4908.28	461.77	2821	6.29	429.38	2250.52	0	130	81	186.35	2369	238	16	30	5	342	11	1	416	304.13	10763.87	3	706.39	3586.81	2411.39	1744.53
C30	cluster1	310.35	7088	2423	1387	3267	240.83	1332	10.64	175.11	1428.22	0	41	285	301.42	817	861	13	7	7	73	1	2	67	129.5	9235.39	2	548.65	2397.57	3164	1443.56
C33	cluster1	357.59	20823.99	1953	2133	2842.32	480.9	2463	25.02	200.14	1927.08	0	182	337	208.93	2808	702	23	2	6.01	199	17	1	306	76.56	14588.04	2	874.41	2789.53	3026.97	2455.35
C34	cluster1	316.46	20859	1767	815	2802.47	287	1959	12.19	221.62	3166.41	0	104	75	141.84	1363	278	9	11	7.01	132.6	2	1	232	247.23	11159.01	3	518.86	1651.09	3409.92	1859.44
C35	cluster1	533.99	35166	4437	5435	4750.87	329.15	3531	19.75	324.61	3782.46	0	326	806	284.49	2798	2686	19	9	19.95	199	10	2	245	285.2	28654.2	12	1064.51	2356.34	7070.41	4640.03
C4	cluster1	454.03	21401	1588	365	3485.65	435.37	1819	11.51	316.64	3134.36	0	92	87	491.77	2073	121	11	3	25	287	8	0	516	194.86	10861.91	9	707.72	2926.94	2511.31	1458.23
C51	cluster1	589.59	21780	1972	1768	3777.02	533.23	3444.87	37.76	272.77	2571.35	0	159	101	134.93	1702	323	19	16	17.01	63	2	2	534	141.42	19243.49	1	880.72	4365.94	4664.33	3072
C53	cluster1	349.44	8728.99	2448	3988	3775.02	247.08	1543	13.24	212.63	1677.01	0	52	152	235.82	569	559	4	9	11.11	108	2	0	160	124.72	20014.82	3	245.39	1105.18	8648.65	2635.14
C57	cluster1	534.87	19558	2548	590	4843.77	534.68	1967	3.96	344.13	2208.28	0	89	361	424.02	2812	1089	8	10	43	639	18	3	310	90.12	8903.16	2	925.47	2653.83	1943.42	1843.84
C59	cluster1	437.55	21441.98	2587	2455	3996.46	471.15	1684	2	440.61	5181.49	0	81	94	552.89	1664	62	30	6	35	461	5	1	332	388.31	18871.68	2	699.5	2122.73	6796.72	2174.47
C6	cluster1	368.13	20620	1143	1002	3504.37	396.83	2242	5.3	190.02	2398.92	0	152	207	215.87	2078	640	27	9	9	272	11	2	408	186.46	11157.32	5	642.88	1699.1	2455.32	2088.38
C60	cluster1	354.34	13832	2109	392	4364.56	576.46	1973	6.98	330.46	1705.35	0	110	50	119.12	2818	210	37	5	25.37	522	30	3	298	149.36	10144.35	6	1097.4	2633.83	1755.26	632.27
C61	cluster1	470.43	15701.01	2245	2393	4474.38	290.1	2176	16.25	373.53	2274.9	0	91	339	216.4	1219	796	29	11	43.03	133	6	1	168	166.3	18360.38	15	483.13	1919.25	5513.93	2270
C62	cluster1	357.73	12630.89	4979	5702	3835.27	407.96	2827	14.62	205.52	964.18	0	120	4	241.8	2069	10	16	8	5	331	11	5	92	67.88	22950.61	2	974.35	2222.61	4868.13	2387.07
C63	cluster1	360.16	9911.01	2513	5634	4255.34	275.14	2319	42.13	363.45	1585.5	0	90	108	574.78	1013	396	3	4	19.01	105	3	0	168	148.24	23312.81	0	505	1752	12644.03	3536.2
C65	cluster1	540.72	19734	3477	4725	3526.82	315.15	2785.92	43.4	247.02	3629.49	0	144	95	187.76	1967	377	5	5	31.01	101	2	1	429	118.11	25986.32	5	970.24	3367.35	9760	3815.89
C66	cluster1	276.6	19227	1372	1626	2400.04	364.31	3102	0	204.1	1314.2	0	101	142	388.67	3000	120	84	2	25.05	308.93	29	4	470	82.47	40516.1	1	1331.55	3089.65	5887.34	1393.61
C67	cluster1	281.15	9979.01	1146	1587	2346.6	335.2	2355	5.63	144.16	435.6	0	199	1934	209.12	2794	4931	27	0	6	109	12	1	164	64.02	11680.9	3	916.5	1384.43	1083.56	2411.86
C69	cluster1	365.03	17840.21	2185	1516	3188.97	376.98	1813	5.37	241.75	2365.2	0	71	265.01	236.94	1357	1068	20	3	27.46	164	4	1	202	174.25	11711.25	8	770.32	2597.79	3520.51	2186.49
C7	cluster1	489.02	15724	2318	1317	4546.93	444.42	1999	13.23	440.69	2355.92	0	77	435.12	420.14	1646	1118	23	2	20.04	621	30	0	249	217.5	8454.99	3	792.84	1807.24	2712.98	2261.38
C70	cluster1	463.71	18528	2965	5285	3907.19	226.13	2508	22.31	334.52	2223.26	1	66	56	123.11	1625	215	29	5	23.48	162	4	3	273	156.21	40726.24	10	838.52	2782.41	11364	2695.36
C72	cluster1	399.06	17201	1631	1960	3411.31	634	2875	11.92	209.46	1308.61	0	117	207	306.01	4350	408	213	7	11	541.08	56	10	427	96	15944.16	3	1168.06	3342.27	3473.21	712.36
C73	cluster1	547.16	18303.95	2271	1569	3721.16	305.87	2026	8.38	602.27	3490.34	0	42	22	256.02	1431	44	9	0	32.01	336	9	3	402	104.37	29657.62	8	767.7	3341.37	7589.88	1198.24
C74	cluster1	409.14	14867	1535	2544	3588.38	318.75	2196	15.77	321.53	1911.48	0	91	176	360.05	2049	607	19	13	7.27	248	11	4	212	129.67	11660.49	3	692.05	2735.02	2887.94	2046.34
C79	cluster1	371.1	17222	3626	1269	4402.16	295.24	2606	9.36	171.47	2244.59	0	128	55	486.44	1541	67	21	4	12	170	4	0	234	532.32	13626	7	533.88	2119.96	3994.8	2688.78
C82	cluster1	314.81	16398.08	1286	1149	2255.68	242.54	2263	7.81	180.16	2787.77	0	142	8	35.03	2023	15	22	1	12.01	208	10	1	250	483.07	8891.48	3	527.33	2252	2896.23	1679.81
C83	cluster1	377.65	14493.32	2095	2627	2330.27	274.95	2143	31.61	218.25	1353.38	0	97	108.01	65.25	2312	300	30	1	7	107	7	6	244	77.54	25223.18	0	862.91	2841.86	5957.23	1875.22
C84	cluster1	338.66	13895	2017	2678	3599.7	247.17	3191	13.95	170.04	1376.08	0	156	11	26.92	3040	40	27	9	1	270	17	4	367	119.17	16963.35	4	1050.13	2650.08	4384.85	1568.19
C86	cluster1	317.72	15134	1369	2088	3481.53	296.16	2576	10.18	201.86	1508.11	0	94	261	259.5	1794	1070	41	0	16	189.73	11	3	299	104.53	14686	4	796.51	2544.38	3999.68	1810.57
C87	cluster1	333.96	18347.01	1761	1272	3595.8	433.77	2244	14.61	181.66	2086.19	0	74	145	277.55	1916	320	8	15	22.1	234	2	6	264	191.95	10807.09	8	703.36	2431.45	3568.55	1355.54
C9	cluster1	365.28	6097	2410	2456	2531.15	188.58	1670	25.01	157.09	1144.42	1	120	582	220.99	1351	2261	5	0	3	62	6	3	91	89.41	8802.16	2	702.77	2317.86	1624.84	2720.62
C90	cluster1	350.07	14375	1675	3048	2867.99	289.72	2248	10.48	208.52	1097.19	0	120	619	219.79	2156	2063	14	8	4.07	255	17	3	252	98.87	11020.69	0	649.73	2029.91	3211.4	2115.86
C91	cluster1	411.55	19424.02	1178	711	3949.19	573.5	3074	5.06	239.4	1868.38	0	143	94	304.32	3352	109	51	2	14	810	38	3	347	212.82	9094.68	8	989.08	1722.15	2610.59	1284.43
C93	cluster1	357.02	8730	2529	3136	2478.85	312.4	2593	155.42	249.31	1008.96	1	119	595	560.29	2559	2151	94	0	22.5	213	26	5	416	62.6	11427	5	987.75	3105.83	2867	1473.91
C94	cluster1	430.05	15942.97	1915	1399	4205.26	680.63	3025	4	191.44	1102.49	0	118	206	330.75	6773	668	64	1	10	1288	46	16	316	91.24	13015.23	2	1093	1550.09	3433.62	1168.28
C95	cluster1	349.55	13974	1916	2068	3044.54	238.63	2048	50.46	195.79	1813.49	0	153	138	188.25	1625	396	8	1	9.24	119	2	3	372	161.86	11015.52	2	724	2954	2680.8	2324.99
C98	cluster1	330.44	11215	845	807	2932.14	244.03	3587	33.96	107.75	827.37	0	239	292	94.42	3215	828	28	16	6.66	258	22	4	191	73.68	8381.75	0	1259.29	3445.96	1123.6	1625.42
