	cluster	IFNA1	IFNA10	IFNA13	IFNA14	IFNA16	IFNA17	IFNA21	IFNA4	IFNA5	IFNA6	IFNA7	IFNA8	IFNAR1	IFNAR2	IFNB1	IFNE	IFNG	IFNGR1	IFNGR2	IFNK	IFNW1
C1	cluster1	0	0	0	0	0	0	0	0	0	0	1	0	12.15	11.59	1	1	5.17	13.73	13.81	1	0
C10	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.18	11.2	0	0	4	13.88	13.34	0	0
C100	cluster1	0	0	1	0	0	0	0	0	0	0	0	0	12.24	11.71	1	1.58	6.11	13.73	13.98	0	0
C101	cluster1	0	0	0	0	0	0	1	0	0	0	0	0	11.74	11.77	1	1.58	5.13	13.39	13.14	0	0
C11	cluster1	0	0	0	0	0	0	0	0	1	0	0	0	11.85	11.63	0	1	6.46	12.85	12.49	0	1
C13	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.5	12.05	0	1	6.36	13.68	13.56	0	0
C16	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.26	11.79	0	0	6.21	13.78	13.3	1.58	0
C17	cluster1	0	0	0	0	0	0	1	0	0	0	0	0	12.32	11.6	0	0	6.48	13.24	13.01	0	0
C18	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.09	11.5	0	0	5.39	13.6	13.58	0	0
C19	cluster1	0	1	0	0	0	0	0	0	1	0	0	0	12.29	11.97	0	0	6.46	14.12	13.71	1	0
C25	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.29	11.93	0	0	5.91	13.38	13.31	0	0
C30	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.23	11.69	0	1.58	4.25	14.42	13.23	0	0
C33	cluster1	0	0	0	0	0	0	0	0	1	0	0	0	11.99	11.43	0	0	4.32	13.27	13.5	0	0
C34	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.3	11.44	0	0	4.86	13.25	13.24	0	1
C35	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	13.38	12.61	0	0	5.83	14.6	14.24	1.58	0
C4	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.91	11.45	0	0	6.29	13.3	13.17	0	1.58
C51	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.34	11.96	0	1	6.49	14.11	14.13	0	2
C53	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.84	11.62	1	1	6.89	13.4	13.46	0	0
C57	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.83	11.53	0	1	5.13	13.34	12.9	0	0
C59	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.44	11.91	0	0	4.39	13.37	13.01	1	1
C6	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.02	11.55	1	0	6.67	13.23	13.1	0	0
C60	cluster1	0	0	0	0	0	0	0	0	1.58	0	0	0	11.34	11.17	0	0	6.57	12.68	12.54	0	1
C61	cluster1	0	0	0	1	0	0	0	0	1	0	0	0	12.26	11.86	1	1	6.78	13.72	13.65	0	0
C62	cluster1	0	0	0	0	0	0	1.58	0	1	0	0	2	11.82	11.46	0	0	5.09	13.51	13.23	0	1
C63	cluster1	0	0	0	0	0	0	0	0	1	0	0	0	12.55	11.83	0	0	5.17	13.96	13.97	0	0
C65	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	13.07	11.92	1	1	6.04	14.21	14.07	0	0
C66	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.24	10.84	0	0	5	12.8	13.37	0	0
C67	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.29	11.35	0	0	5.61	13.15	13.28	0	0
C69	cluster1	0	0	0	0	0	0	1	0	0	0	0	0	12.05	11.58	1	0	6.6	13.12	12.95	0	0
C7	cluster1	0	0	0	0	0	0	1.58	0	0	0	0	0	12.14	11.93	1.58	1	6.46	13.04	13.06	1	0
C70	cluster1	0	0	0	0	0	0	1	0	1	0	0	0	12.26	11.62	0	0	7.48	13.46	13.69	0	0
C72	cluster1	0	0	0	0	0	0	0	0	1	0	0	0	11.2	10.75	0	1	7.38	12.44	12.8	0	0
C73	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.16	11.76	0	0	5.49	13.41	13.15	1	0
C74	cluster1	0	0	1	0	0	0	0	0	0	0	0	0	12.05	11.67	1	0	2.81	13.24	13.42	1	0
C79	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.29	11.76	1	0	6.36	14.51	13.6	0	0
C82	cluster1	0	1	0	0	0	0	0	0	0	0	0	0	11.98	11.64	1	1	6.02	13.42	13.2	0	1
C83	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.78	11.26	1.58	0	7.35	12.94	13.27	0	0
C84	cluster1	0	0	0	0	0	0	0	0	1	0	0	0	11.88	11.49	1.58	0	5.81	13.75	13.73	0	1
C86	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.63	11.37	0	0	6.38	13.14	13.45	0	0
C87	cluster1	0	0	0	0	0	0	0	0	1	0	0	0	11.7	11.28	0	1	5.93	13.2	13.04	1	0
C9	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.13	11.56	1	0	2.58	13.8	13.14	0	0
C90	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.32	11.53	0	0	6.92	13.8	13.3	0	0
C91	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.72	11.68	0	1	6.57	12.9	13.14	0	0
C93	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.18	11.61	1	0	7.75	13.67	13.35	0	0
C94	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	11.14	10.82	2.32	0	6.66	12.44	12.74	0	0
C95	cluster1	0	0	0	0	0	0	0	0	0	0	0	0	12.19	11.58	0	0	5.04	13.81	13.52	0	0
