symbol	cluster	IL10	IL10RA	IL10RB	IL11	IL11RA	IL12A	IL12B	IL12RB1	IL12RB2	IL13	IL13RA1	IL13RA2	IL15	IL15RA	IL16	IL17A	IL17B	IL17C	IL17D	IL17F	IL17RA	IL17RB	IL17RC	IL17RD	IL17RE	IL17REL	IL18	IL18BP	IL18R1	IL18RAP	IL19	IL1A	IL1B	IL1F10	IL1R1	IL1R2	IL1RAP	IL1RAPL1	IL1RAPL2	IL1RL1	IL1RL2	IL1RN	IL2	IL20	IL20RA	IL20RB	IL21	IL21R	IL22	IL22RA1	IL22RA2	IL23A	IL23R	IL24	IL25	IL26	IL27	IL27RA	IL2RA	IL2RB	IL2RG	IL3	IL31	IL31RA	IL32	IL33	IL34	IL36A	IL36B	IL36G	IL36RN	IL37	IL3RA	IL4	IL4I1	IL4R	IL5	IL5RA	IL6	IL6R	IL6ST	IL7	IL7R	IL9	IL9R
C1	cluster1	191.23	10636	5386.11	3.47	241	7	1	1386	227.11	0	5098	0	495.7	562	8429.47	0	0	2	2	0	19585.1	19	156	52.38	9	2.98	298	255	1630	3466	5.09	1	2002	0	455	2057	618.63	0	0	18	0	12059	0	0	0	17	0	333.18	0	0	0	32	9.15	9.28	0	3	97	2527.81	152	2210	11685	0	0	17	2982	0	0	1	0	0	0	0	119	11	122.07	5115	0	34	2	11399.15	3638	37	6140	0	71
C10	cluster1	36.71	4016	4885.59	7.47	158	4	1	836.47	44.18	0	10417	2	196.23	188	10947.98	0	1	1	1	0	15224.82	20	62	15.44	7	3.92	734.34	161	7162	18758	0	0	1138	0	2994.81	52591	2311.72	0	0	154	8	4511	0	0	0	18	8	175	0	0	0	12	1.65	13.95	0	0	35	1221	61.14	899	11069	0	0	1	1807	0	1	0	0	0	0	1	247	0	5.16	10459	0	26	1	9756.07	1607.01	7	1082	1	29
C100	cluster1	82.17	4896	6864.9	8.31	404	9	0	725.99	52.42	0	4870.36	0	586.99	286	8171.89	0	0	0	1	0	11552.88	7	75	15.16	6	7	495.03	225.06	1087	14528	0	0	2643	0	390.41	5010	474.98	0	0	24	0	8542	1	0	0	26	2	298.69	0	0	0	27	4.04	54.49	0	0	16	1561	132.67	1047	20103	0	0	4	7277	0	0	0	0	0	0	0	126	7	23	11738	0	60	5	5986.54	1576	13	3927	0	15
C101	cluster1	53.62	7461	5115.18	3.72	794	17	1	691.84	59.18	4	3866.82	0	249.11	222	10753.34	0	0	3	11	3	8444.7	29	41	19.01	21	5.04	466.01	432	767	6195	1	0	3659	0	526	2826	560	0	0	74	0	3617	1	0	0	29	4	423.32	0	0	0	133	4.97	105.53	0	3	9	1796	397	1477	11387	0	0	3	10416	1	9	0	0	1	0	0	519	10	10.04	8049	0	403	7	7784.91	2074	10	9382	0	33
C11	cluster1	33.29	10647	2954.98	3.93	627	37	1	982.46	194.39	5	3598.92	0	244.9	193	9981.05	0	0	2	2	0	6150.62	31	37	18.36	29	5.28	178.01	397	875	2874	4	0	2240	0	360	687	1124.57	0	0	92	3	2513	0	0	0	18	10	571.56	0	0	0	112	15.14	90.73	1	5	6	2000	566.72	3399	16273	0	0	6	10541	0	1	1	0	0	0	1	66	5	8	4109	0	550	13	7028.96	3974	49	27930	0	21
C13	cluster1	46.04	7085	4926.19	3.13	292	45	1	805.47	63	0	5610.27	0	461.27	317	9156.7	0	0	0	4	0	10432.03	25	46	23.03	10	8.33	242.97	293	871	5959	2	2	5489	0	320.46	1400	1333.35	0	0	71	0	6303	0	0	0	24	13	384.66	0	0	0	67	2	47.37	0	2	8	1288.05	112.87	1176	16116	0	0	6.03	5855	0	2	0	0	0	0	1	130	7	8	4518.94	0	484	10	8989.53	2911	40	9654	0	3
C16	cluster1	31.17	11965	3888.77	5.26	436	23	2.07	953.09	187.21	0	6838.23	1	396.17	287	11739.51	0	0	0	2	1	13149.12	45	70	21.37	15	7.71	342.59	356	1035	2226	2	1	1956	0	797.12	1751	1107.63	0	0	22	2	3174	0	0	0	39	6	412	1	1	0	52	9.64	45.57	6	0	9	2088	174.98	3382	13901	0	0	18.33	7995	1	2	0	0	0	0	0	145	2	11.02	6400	0	126	4	9743.53	3182	57	11691	0	26
C17	cluster1	23.42	7012	3651.63	3.75	178	9	0	949.86	99.22	0	4770.75	0	189.67	249	8834.09	0	0	0	0	0	11570.7	13	59	21.26	7	2.62	186	184	689	1987	0	0	2472	0	648.04	2168	1057.92	0	0	25	3	2665	1	0	1	26	9	302.22	0	0	0	52	2.02	10.56	0	4	12	1506	118.01	2107	8724	0	0	20.05	3894	0	1	0	0	0	0	0	509	8	18.32	5607	0	127	3	13086.4	1673	17	5627	0	54
C18	cluster1	36.31	8198	4597.02	6.82	212	6	3	1112.91	54.06	0	5974	0	364.45	230	11295.21	0	0	0	2	0	13403.11	20	90	19.52	17	8.02	233.02	204	1026	973	6	1	2117	0	955.48	3260	1520.57	0	0	37	4	4617	1	0	0	13	1	280.57	0	0	0	28	4.27	29.77	2	4	21	2066	83.96	1650	11423	0	0	23.95	4057	0	3	0	0	0	0	0	171	5	20.15	7273	0	228	5	11129.22	1301	26	6213	0	51
C19	cluster1	78.18	6299	3814.28	7.16	137	22	0	632.48	128.12	1	8137.84	0	352.5	186	12903.19	0	2	1	3	0	16416.06	43	46	16.61	12	3.81	363.89	231	1753	6911	0	2	2684	0	1154	4992	1399.11	0	0	142	1	3606	1	0	2	17	4	181.73	0	0	0	29	8.5	28.85	0	0	6	1093	112.63	978	10480	0	0	14.04	2037	0	4	1	0	0	0	0	160	7	7	5023	0	394	7	14695.75	2209	25	5691	0	31
