	group	treat_time	treat	KLHL17	UBE2J2	GNB1	SRM	RNF186	ZBTB8B	TRIM62	CFAP57	CDC20	MED8	BTBD19	HECTD3	USP1	UBE2U	BTBD8	WDR3	PIAS3	DCAF8	COPA	UFC1	ZBTB37	UBE2T	REN	KCTD3	RNF187	WDR64	TRIM58	TAF3	ARMC4	MPP7	CUL2	WDFY4	UBE2D1	HECTD2	WDR11	BUB3	PHRF1	TRIM66	USP47	TSG101	ABTB2	DDB2	KBTBD4	BTBD18	EML3	ZBTB3	DPF2	SART1	PELI3	CORO1B	RNF121	PAAF1	KLHL35	KCTD21	EED	DCUN1D5	RNF26	ZBTB44	CHD4	GNB3	SCAF11	SENP1	MDM2	USP44	NEDD1	NUP37	BTBD11	PWP1	USP30	UBE3B	DTX1	WSB2	RNF34	KBTBD6	KBTBD7	RCBTB2	WDFY2	UCHL3	ING1	CUL4A	KLHL33	SOCS4	PELI2	EML5	ASB2	WDR25	WDR20	ZBTB42	HERC2	UBR1	WDR76	USP50	GNB5	WDR72	RNF111	USP3	HERC1	KBTBD13	UBE2Q2	WDR61	ASB7	WDR90	UBE2I	RNF151	MLST8	KCTD5	ELOB	CORO7	USP31	GTF3C1	KATNB1	NAE1	FBXL8	UTP4	WWP2	RNF166	WDR81	UBE2G1	CHD3	RNF222	USP43	CDRT1	FBXW10	C17orf78	KLHL10	KLHL11	UBE2Z	SPOP	RNF43	USP32	SMURF2	DNAI2	LLGL2	TRIM65	CBX4	RNF125	RNF165	RNF152	SOCS6	RNF126	MED16	WDR18	BTBD2	TLE6	TLE2	MPND	NWD1	KLHL26	UBA2	WDR87	ZNF230	IRF2BP1	SAE1	NUP62	USP29	RNF225	NOL10	BIRC6	STRN	EML4	ASB3	WDR92	WDR54	RMND5A	TRIM43	NEURL3	SPOPL	KLHL23	UBE2E3	WDR12	BARD1	RNF25	SAG	USP40	KLHL30	ING5	RNF24	EFCAB8	ITCH	CPNE1	UBE2C	CSTF1	RAE1	USP25	BACH1	WDR4	UBE2G2	KLHL22	PPIL2	RNF215	RNF185	KCTD17	SETMAR	VHL	ATG7	UBE2E2	WDR6	UBA7	ASB14	KCTD6	UBA3	ZBTB11	ATG3	WDR5B	UBA5	ANAPC13	COPB2	RBP2	ZBTB38	SIAH2	SSR3	WDR49	GNB4	KLHL6	RNF168	WDR53	RNF212	TMEM129	PPP2R2C	USP17L10	USP17L11	USP17L18	USP17L20	USP17L21	USP17L12	USP17L13	USP17L15	USP17L17	USP17L19	USP17L22	USP17L25	USP17L5	WDR1	KLHL5	UCHL1	USP46	UBA6	SEC31A	HERC6	UBE2D3	RNF175	PLRG1	KLHL2	WDR17	WDR70	ZNF131	RNF180	UTP15	ATG10	PAM	WDR36	DMXL1	ZNF474	FAM53C	UBE2D2	WDR55	PPP2R2B	GEMIN5	RNF145	THOC3	RNF130	RNF182	RNF39	TRIM40	TRIM15	TRIM39	ZBTB22	PHF1	ZBTB9	USP49	UBE2J1	BACH2	USP45	RNF146	AHI1	NUP43	PRKN	WDR27	USP42	MIOS	PHF14	KLHL7	VPS41	ASB4	COPS6	GNB2	UFSP1	RNF133	RNF148	ASB15	UBE2H	CUL1	WDR86	USP17L4	USP17L8	USP17L7	KCTD9	PPP2R2A	RNF122	RNF170	UBE2W	ELOC	WWP1	FBXO32	DENND3	SMU1	DNAI1	CCIN	RNF38	TLE1	WDR31	WDR38	ZBTB34	ASB6	RNF208	ASB9	ASB11	KLHL34	UBA1	WDR13	OTUD5	USP51	ASB12	BRWD3	RAB40A	RNF128	WDR44	UBE2A	USP26	UBE2NL
Mock_2h_Rep1	control	2h	control	18	102	1007	292	0	0	7	4	39	122	4	97	98	0	0	110	84	253	603	234	1	87	0	180	527	0	0	23	0	2	125	0	74	26	236	345	189	32	192	280	91	166	43	0	99	14	138	166	40	319	142	84	5	40	32	89	128	59	583	2	245	86	192	0	68	91	272	228	36	143	0	249	95	36	41	13	32	65	33	184	0	73	9	9	0	55	80	26	318	37	26	0	142	106	141	142	148	0	203	269	62	30	451	0	155	76	823	15	79	366	105	324	6	256	157	59	194	220	548	0	17	13	20	0	3	55	674	130	55	175	93	0	523	187	115	15	8	0	240	71	115	142	208	10	18	35	0	27	560	0	7	99	553	226	0	0	115	237	66	202	2	48	140	107	0	1	33	0	85	68	9	64	0	141	0	72	64	0	91	238	40	85	205	121	74	64	183	90	85	49	81	88	29	118	54	26	540	4	1	31	110	58	84	59	105	158	429	0	234	51	476	0	35	0	36	16	3	191	181	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	277	3128	49	55	289	57	476	0	174	59	11	52	55	2	73	39	235	97	58	1	91	286	91	5	100	506	32	283	3	3	0	0	25	38	53	41	12	118	0	24	89	61	83	0	20	52	58	141	73	121	4	430	516	11	0	0	0	605	243	0	0	0	0	155	121	10	84	43	242	195	29	95	173	0	0	54	142	12	0	21	76	5	36	0	0	1142	269	295	1	0	61	4	0	76	389	0	0
Mock_2h_Rep2	control	2h	control	39	144	1778	710	0	0	24	8	145	309	11	201	216	0	2	214	176	552	1070	547	0	241	0	341	969	0	0	34	0	0	305	0	189	52	366	762	227	65	394	596	176	290	67	0	136	12	252	330	55	428	259	185	7	96	142	220	166	125	935	11	421	112	455	0	147	292	390	502	41	232	0	535	246	55	69	20	95	112	49	446	0	158	23	28	1	80	156	52	505	109	84	0	346	239	257	339	334	0	448	765	131	73	806	0	270	166	1552	25	190	503	153	663	11	516	268	89	248	425	877	0	49	16	21	0	2	144	1269	260	73	250	158	0	755	304	207	21	3	0	501	116	132	210	254	34	37	33	1	34	1288	0	32	158	1120	524	0	0	295	463	173	334	9	92	298	223	0	2	55	0	176	152	35	147	0	254	2	135	100	0	236	477	118	234	420	203	110	128	403	107	153	130	172	121	44	234	115	55	865	5	6	84	278	152	195	115	202	456	882	1	446	91	1027	0	67	0	86	42	16	304	263	0	0	0	0	0	0	0	0	0	0	0	0	0	1827	469	7138	92	182	585	88	1109	0	378	90	21	121	181	5	154	73	500	198	121	2	168	679	200	3	198	1015	36	613	5	9	0	0	37	52	148	79	46	281	0	77	115	117	181	0	62	93	120	263	136	296	31	942	915	12	0	0	0	1100	524	1	0	0	0	286	314	27	168	177	608	364	92	154	486	0	0	147	233	13	0	53	122	14	95	0	0	2044	488	474	5	0	87	4	0	130	1040	0	0
Mock_2h_Rep3	control	2h	control	11	90	1081	304	0	0	10	0	90	157	5	94	84	0	1	107	73	262	593	281	2	73	0	179	502	0	0	33	0	0	151	0	83	15	221	371	127	9	197	231	111	151	32	0	71	8	102	138	34	311	153	58	3	39	93	93	95	48	587	0	225	69	218	0	36	125	264	241	30	146	0	287	89	22	31	10	66	72	19	239	0	77	13	8	0	38	105	38	333	62	50	0	196	70	115	185	173	0	244	274	103	25	437	2	132	108	859	7	52	328	85	291	8	210	161	37	179	228	516	0	13	9	4	0	0	65	632	119	33	159	101	0	332	162	108	10	2	0	287	41	100	148	187	18	4	22	0	24	685	0	12	84	622	210	0	0	163	192	103	187	11	47	131	90	0	1	46	0	85	65	20	69	0	116	0	64	57	0	120	209	34	123	175	99	68	79	169	64	91	52	67	89	26	77	107	34	517	2	2	25	85	54	114	44	70	191	405	0	214	60	501	5	28	0	38	25	3	122	146	0	0	0	0	0	0	0	0	0	0	0	0	0	981	275	2816	50	64	341	39	446	0	173	81	9	68	75	4	73	46	228	72	61	8	86	272	88	3	118	503	12	309	10	6	0	0	20	32	80	26	7	133	0	30	43	32	80	1	24	34	76	123	67	188	0	449	480	16	0	0	0	545	231	0	0	0	0	133	138	4	61	80	282	204	57	85	192	0	0	75	88	15	0	26	76	4	37	0	0	1042	277	287	14	0	59	1	0	91	325	0	0
Mock_4h_Rep1	control	4h	control	0	7	85	29	0	0	0	0	5	7	1	7	5	0	0	6	1	21	47	18	0	3	0	27	47	0	0	3	0	0	18	0	6	2	19	35	22	3	13	24	6	8	0	0	4	0	16	22	7	37	23	7	0	5	7	7	6	8	49	0	17	4	18	0	4	10	32	16	3	10	0	25	14	4	5	1	2	12	4	22	0	7	1	2	0	4	9	5	20	3	2	0	17	10	16	14	8	0	18	47	6	4	37	0	16	10	98	3	2	41	7	29	1	29	16	5	17	23	51	0	0	0	0	0	0	5	53	19	2	19	10	0	51	12	11	1	0	0	17	11	10	26	20	1	5	4	0	1	54	0	1	21	66	18	0	0	15	27	13	19	1	4	17	9	0	0	5	0	2	6	1	6	0	10	0	4	7	0	15	12	1	5	18	6	16	13	13	4	13	6	7	7	0	8	4	2	62	0	0	1	6	9	6	5	9	30	44	0	19	6	51	0	5	0	6	1	0	22	11	0	0	0	0	0	0	0	0	0	0	0	0	0	100	22	321	6	5	30	5	52	0	7	3	2	7	7	1	2	5	25	11	5	0	3	31	5	0	15	57	4	21	0	1	0	0	1	6	6	4	0	15	0	1	2	4	8	1	3	5	2	20	10	10	1	46	58	0	0	0	0	49	21	0	0	0	0	11	10	0	4	10	17	22	0	9	17	0	0	4	12	0	0	5	11	0	1	0	0	117	21	27	0	0	10	1	0	6	35	0	0
Mock_4h_Rep2	control	4h	control	15	66	585	234	0	0	6	0	29	81	0	44	77	0	0	40	40	120	378	201	0	85	0	101	281	0	0	6	0	0	110	0	61	10	115	341	59	26	130	177	33	101	26	0	32	4	107	106	31	119	84	45	2	24	77	82	57	40	245	0	150	44	121	0	32	111	139	196	31	76	0	168	108	17	12	4	18	61	8	128	0	51	14	17	1	45	43	17	124	29	17	0	139	83	65	127	62	0	138	255	34	30	302	0	93	33	630	1	74	101	59	286	0	230	68	34	66	181	193	0	10	3	7	0	0	70	342	81	16	82	56	0	196	91	56	17	0	0	177	19	21	89	109	5	17	7	0	9	449	0	0	46	395	116	0	0	75	169	42	103	2	14	94	51	0	0	19	0	80	55	11	45	0	72	0	21	22	0	92	159	35	105	157	29	70	67	168	61	26	35	41	68	18	62	32	16	140	0	0	29	108	31	69	33	49	157	286	0	131	44	382	0	26	0	21	11	0	75	79	0	0	0	0	0	0	0	0	0	0	0	0	0	582	151	2776	40	49	148	62	421	0	124	15	0	38	48	0	36	40	138	63	40	0	44	289	42	3	76	383	18	231	0	1	0	0	15	25	56	18	25	89	0	32	42	60	71	2	21	22	61	109	54	109	3	308	300	2	0	0	0	353	186	0	0	0	0	103	159	0	52	69	294	118	4	59	138	0	0	30	64	1	0	3	37	2	34	0	0	645	170	156	0	0	34	1	0	46	355	0	0
Mock_4h_Rep3	control	4h	control	81	280	2973	960	0	0	29	8	225	383	6	290	287	0	1	444	311	876	1752	844	4	340	3	627	1445	0	0	53	0	0	532	0	254	91	706	1266	406	165	792	895	217	543	103	0	230	33	418	407	77	695	449	318	6	135	257	294	246	308	1509	10	853	242	738	0	240	396	745	883	126	418	2	894	457	105	127	13	127	167	69	745	0	259	46	80	0	153	299	65	942	232	131	1	513	370	453	588	473	0	764	1095	237	136	1365	3	406	259	1790	28	330	781	255	1156	22	812	408	150	427	720	1429	2	89	48	23	0	9	209	1942	461	135	526	355	0	1110	416	253	25	12	0	911	166	177	296	472	44	39	42	2	42	2121	0	54	264	1707	800	0	0	389	918	303	581	25	143	450	413	0	0	117	0	367	291	31	162	0	415	0	218	182	0	481	769	184	411	541	409	295	163	724	281	264	156	244	168	89	428	134	90	1260	10	2	95	467	292	392	199	332	686	1553	1	821	199	1463	0	111	0	119	94	29	454	442	0	0	0	0	0	0	0	0	0	0	0	0	0	2777	869	10974	173	402	1042	140	1545	0	600	152	24	164	309	9	302	103	750	393	258	6	287	920	276	6	377	2071	55	900	13	17	0	0	78	95	278	132	136	430	0	128	258	203	312	2	90	110	255	445	209	473	21	1341	1277	27	0	0	0	2075	915	1	0	0	0	538	583	38	366	350	738	630	76	262	715	0	0	278	365	41	0	120	209	22	137	0	0	3093	695	798	9	0	219	1	0	231	1517	0	0
Mock_6h_Rep1	control	6h	control	9	41	386	188	0	0	2	1	29	76	2	30	77	0	0	63	29	139	214	250	0	112	0	122	188	0	0	7	0	0	78	0	79	7	85	325	30	13	134	208	36	95	17	0	16	0	45	70	12	152	80	42	2	27	63	64	24	25	167	4	132	43	109	0	41	173	95	137	12	56	0	213	58	23	14	0	21	69	11	101	0	36	0	7	0	17	61	3	63	18	21	0	68	93	62	68	26	0	173	207	27	25	193	0	71	31	1141	8	58	81	31	215	0	153	40	34	32	116	162	0	2	7	1	0	0	38	294	72	13	90	48	0	184	57	27	5	2	0	172	20	9	54	55	21	11	23	0	11	338	0	31	43	343	107	0	0	87	105	39	114	0	24	121	51	0	0	13	0	74	74	9	27	0	73	0	39	16	0	92	144	47	64	74	74	37	31	106	48	40	39	42	51	31	69	39	13	131	8	0	34	106	57	90	49	86	281	181	0	70	51	333	0	17	0	27	18	5	72	49	0	0	0	0	0	0	0	0	0	0	0	0	0	407	115	2380	22	78	114	20	383	0	117	20	0	19	51	11	55	36	139	59	14	0	28	306	39	0	69	407	15	160	0	0	0	0	14	11	39	13	3	97	0	34	60	27	61	0	23	19	28	125	54	91	7	453	227	10	0	0	0	247	145	2	0	0	0	82	85	11	91	64	481	65	12	18	120	0	0	36	38	7	0	23	19	0	49	0	0	413	145	122	1	0	19	4	0	27	424	0	0
Mock_6h_Rep2	control	6h	control	27	101	1169	461	0	0	16	2	120	176	7	110	185	0	2	236	124	372	710	540	4	225	0	323	580	0	0	20	0	1	283	0	184	43	307	760	119	71	336	490	78	203	40	0	70	7	206	171	49	306	207	144	13	53	151	194	87	124	587	8	417	106	288	0	114	306	373	474	65	161	0	418	227	75	72	19	53	145	36	340	0	138	25	35	0	70	86	25	324	132	62	0	231	261	191	279	190	0	347	557	82	77	575	0	160	114	1171	27	181	302	87	705	14	393	120	45	170	381	567	3	27	32	12	0	0	150	855	246	58	190	125	0	506	212	95	8	1	0	454	69	76	151	132	15	14	24	2	13	1020	0	47	100	930	352	0	0	236	440	116	295	5	79	220	178	0	3	61	0	147	152	19	51	0	132	1	93	78	0	195	472	80	168	323	193	128	77	288	119	104	83	138	71	63	147	69	33	408	2	1	60	332	159	261	84	191	503	661	0	353	92	801	0	76	0	53	51	6	166	201	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	471	5598	86	217	449	63	890	0	305	72	4	109	143	6	152	47	345	199	126	0	142	536	91	4	158	1080	41	396	5	6	0	0	30	25	106	73	28	205	0	84	134	138	167	0	46	26	145	266	119	236	30	754	570	19	0	0	0	931	502	0	0	0	0	262	276	16	187	211	553	293	24	117	349	0	0	92	146	21	0	33	65	9	90	0	0	1159	347	278	3	1	64	0	0	102	822	0	0
Mock_6h_Rep3	control	6h	control	52	149	1516	617	0	0	12	9	130	297	12	156	263	0	1	339	153	497	1096	748	2	388	0	393	713	0	0	36	0	0	346	0	212	102	420	939	188	98	426	650	101	257	67	0	135	12	192	217	37	438	272	202	9	67	251	280	139	161	766	9	577	147	324	3	172	396	474	629	78	224	1	531	292	98	72	17	82	181	34	486	0	170	26	32	0	79	204	30	509	148	103	0	361	236	258	384	247	0	479	842	117	69	833	0	245	136	1395	16	161	375	139	853	30	484	194	100	178	451	745	0	47	41	15	0	3	120	1082	360	64	276	176	0	609	296	151	11	2	0	646	106	90	184	214	23	10	20	0	23	1372	0	38	141	1041	466	0	0	312	480	169	418	8	118	287	224	0	2	71	0	240	220	37	96	0	233	0	131	82	1	326	578	157	284	435	250	203	135	383	162	167	102	161	100	60	264	109	59	718	3	1	60	413	226	277	149	229	607	1040	0	532	103	1176	0	86	0	77	51	14	236	283	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	619	7581	133	278	660	90	1222	0	417	97	13	158	170	6	226	81	369	228	135	2	118	651	175	3	267	1547	53	498	7	8	0	0	39	32	153	89	60	280	0	107	178	160	268	0	52	46	186	325	133	308	16	862	821	18	0	0	0	1247	565	0	0	0	0	367	402	12	251	188	719	390	37	148	517	0	0	175	207	35	0	62	111	9	115	0	0	1626	386	427	6	0	107	6	0	202	1059	0	0
Mock_9h_Rep1	control	9h	control	73	202	2067	597	0	0	23	8	424	254	8	288	393	0	0	278	157	588	1098	637	5	496	0	438	1116	0	0	53	0	1	334	0	145	74	387	1177	358	107	399	586	146	426	86	0	222	26	246	459	114	703	396	265	12	108	255	189	246	177	1070	7	530	204	396	4	193	377	586	502	89	315	4	580	268	68	61	8	88	92	55	539	0	221	15	33	0	93	155	59	791	120	276	1	463	213	237	350	409	0	461	726	105	143	978	2	328	183	1487	35	204	714	231	800	17	750	298	119	320	444	1503	3	45	43	34	1	1	139	1585	326	64	273	220	0	1001	332	210	10	6	1	525	117	142	229	424	63	41	46	3	51	1670	0	38	262	1603	958	0	0	381	506	159	501	10	121	435	223	0	4	95	1	193	193	96	136	0	317	0	169	168	0	272	831	355	299	497	216	122	148	473	263	202	148	197	172	67	258	139	56	1045	9	2	64	293	191	304	110	232	532	971	0	405	166	898	0	87	0	99	66	12	353	341	0	0	0	0	0	0	0	0	0	0	0	0	0	2088	615	7319	120	246	570	118	1121	0	412	110	17	185	178	4	156	54	484	207	118	3	213	664	173	8	304	1711	76	612	9	7	0	0	49	42	252	120	41	222	1	69	149	116	297	2	74	59	213	391	112	296	22	1164	1150	16	0	0	0	1208	728	0	0	0	0	261	376	26	214	176	620	413	38	203	541	0	0	116	302	49	0	76	176	16	152	0	0	2623	505	566	9	0	93	4	0	156	962	0	0
