Gene Symbol	type	treat_time	UBA6	UBE2C	SART1	PLRG1	BUB3	STRN	WDR1	EED	PHF14	SEC31A	ATG7	UCHL1	UCHL3	SRM	UBA1	COPB2	NUP62	UBE2A	VPS41	RBP2	UBE2D1	COPA	WDR4	CORO7	UBE2G2	UBE2G1	UBE2H	UBE2D2	GNB1	GNB2	PPP2R2A	UBE2I	RAE1	CSTF1	GTF3C1	CHD3	PPIL2	NAE1	PWP1	CUL1	CUL2	CUL4A	CHD4	SMU1	EML3	WDR44	MPP7	HECTD3	DCAF8	LLGL2	TRIM65	COPS6	UBR1	USP32	NUP43	NUP37	NEDD1	WDR36	UBA3	RNF128	UTP15	GEMIN5	DDB2	DPF2	UBE2E3	RNF25	ASB9	MED8	THOC3	ITCH	RNF170	USP47	WDR92	SCAF11	BARD1	TSG101	CPNE1	CORO1B	PAAF1	NOL10	WDR18	RNF126	MLST8	WDR11	WDR12	WDR61	UBA5	WDR13	WDR55	UBE2Z	RMND5A	RNF121	GNB4	EML4	WDR6	UBE2T	BIRC6	ATG3	WDR70	MIOS	SENP1	PHRF1	SAE1	UBA2	SSR3	WDR3	MED16	UFC1	DMXL1	KCTD3	USP3	PIAS3
Virus 2h_1	Virus	2hSARS_COV_2	2581.61	416.335	675.651	314.655	1200.03	389.559	7500.8	250.877	86.0625	2897.64	200.189	2442.27	1069.3	593.942	7576.13	5312.79	1072.91	126.079	80.9232	503.115	144.619	7812.82	175.429	765.106	526.945	114.644	324.522	350.616	271.435	270.294	859.674	1357.63	691.881	381.068	313.645	21.1083	94.4084	686.219	185.513	1471.57	1195.1	672.993	2664.7	1210.58	57.8892	322.354	73.8292	51.3111	104.649	622.022	28.6774	626.742	215.771	51.3652	366.128	573.286	26.9695	461.941	365.692	26.242	488.867	1367.56	338.083	124.245	65.7891	51.6865	32.1089	73.7714	658.683	310.995	59.9251	649.145	184.336	1277.36	26.5997	790.52	1518.53	2859.67	139.396	299.714	141.959	23.1532	51.7238	801.512	964.277	1133.67	287.702	189.025	158.813	461.519	94.74	105.306	4.68182	3178.38	21.4733	129.372	338.493	409.808	154.835	31.4252	19.2371	88.8187	2639.13	2634.8	530.937	796.45	148.054	678.422	111.385	24.9637	52.605	132.731
Virus 2h_2	Virus	2hSARS_COV_2	2621.22	438.365	678.66	324.458	1226.37	400.973	7306.25	250.91	87.5967	2865.65	171.858	2429.39	994.423	576.604	7436.21	5242.59	1065.26	120.483	84.1752	534.091	137.21	7781.1	174.849	740.981	531.8	109.794	337.711	356.21	256.978	269.27	826.336	1387.94	642.464	366.421	330.579	26.2203	101.444	648.505	177.079	1444.07	1174.77	603.461	2728	1183.04	53.6775	288.975	65.2317	44.2716	117.381	607.306	27.9498	603.096	213.792	50.8124	396.199	585.244	33.4215	480.091	374.53	28.9455	493.336	1374.53	341.338	124.914	72.3117	62.1083	34.6072	56.8322	649.729	303.447	69.8162	674.245	180.237	1320.24	26.4979	776.146	1509.89	2770.16	157.658	293.618	148.578	18.9106	46.7788	810.632	858.868	1076.98	278.523	183.808	137.854	491.807	95.905	106.641	2.90342	3243.74	23.4475	140.672	325.053	399.464	133.341	24.2959	22.6377	95.4346	2657.16	2601.33	473.322	807.166	131.633	656.212	117.586	24.5543	52.091	137.27
Virus 2h_3	Virus	2hSARS_COV_2	2590.07	454.153	616.532	333.292	1309.6	394.878	7303.6	243.348	92.8028	2781.89	176.698	2617.81	1040.41	578.255	7706.8	5124.8	1086.64	126.345	76.6069	548.508	142.417	7741.41	168.398	801.59	600.379	122.482	336.762	342.857	241.093	267.52	836.299	1363.58	718.971	349.939	305.531	27.1334	95.6264	641.532	181.926	1437.02	1215.07	605.544	2830.08	1259.56	47.728	309.816	71.6961	48.6676	106.184	601.14	27.0769	581.821	201.593	50.383	413.398	576.053	39.1509	481.763	361.167	32.4222	523.617	1404.11	301.866	134.665	102.041	56.6742	23.4855	73.7139	648.371	337.199	66.6884	634.889	169.09	1315.33	31.4447	772.564	1476.22	2694.06	128.778	290.596	135.492	18.0742	52.489	767.533	832.767	1077.22	254.448	171.698	136.053	470.745	103.53	103.497	6.30144	3090.97	27.5171	145.291	361.254	395.483	132.018	30.7976	15.341	91.4083	2654.37	2697.82	517.43	827.04	148.154	702.001	121.311	27.3193	51.8079	132.177
Virus 6h_1	Virus	6hSARS_COV_2	2569.1	412.187	669.809	330.372	1255.72	410.377	7491.24	235.077	89.4081	2952.8	203.442	2384.76	1029.24	607.597	7544.16	5246.63	1031.49	123.976	72.3477	550.78	152.099	7840.6	166.324	739.13	552.246	115.722	371.908	366.541	298.649	290.08	846.091	1361.2	699.883	401.292	306.033	22.432	95.316	673.478	194.448	1401.54	1163.32	630.371	2815.04	1173.19	56.995	323.585	72.5331	51.6441	99.0507	626.592	26.3296	604.419	207.801	40.6152	368.3	553.406	26.5521	455.89	361.211	26.5886	493.791	1405.88	327.079	134.64	68.9248	51.7725	31.8319	83.1155	617.929	316.128	58.4995	657.274	169.529	1276.42	27.1723	804.056	1506.92	2902.44	136.23	291.338	146.832	27.8688	44.0363	773.876	827.231	1176.15	296.784	187.7	145.041	476.647	109.664	96.321	2.64266	3164.55	24.0137	127.619	329.009	412.803	134.739	30.7895	15.4042	87.4444	2752.99	2789.02	493.132	790.758	140.217	702.647	99.5853	23.9045	55.3948	134.308
Virus 6h_2	Virus	6hSARS_COV_2	2559.18	397.345	660.261	302.564	1192.2	379.48	7626.26	234.947	83.6722	2910	171.468	2296.83	965.377	566.283	7583.43	5255.61	1042.35	131.843	73.1757	524.375	130.36	7810.91	155.634	757.821	526.55	110.687	341.36	353.598	257.848	291.777	785.55	1450.07	627.969	364.67	323.92	23.864	90.88	615.542	196.854	1371.88	1165.71	616.239	2737.18	1134.59	65.9799	296.852	57.2026	45.7542	113.947	595.141	25.8138	573.842	202.498	45.4286	366.977	546.024	29.9858	448.435	374.491	29.5877	503.878	1311.61	315.179	124.503	71.6917	58.1521	28.6159	69.5187	627.08	279.589	61.5635	667.519	161.802	1218.54	25.8635	815.726	1498.6	2952.65	151.783	290.704	142.994	18.878	47.3114	830.859	780.968	1031.4	288.3	173.377	150.104	486.009	95.9364	100.512	3.02875	3236.14	22.1866	132.54	303.768	388.032	126.12	24.9509	16.8998	81.4726	2647.15	2535.72	514.677	780.139	138.467	651.717	108.028	20.8458	54.6761	133.767
Virus 6h_3	Virus	6hSARS_COV_2	2543.27	399.919	625.341	317.281	1244.95	360.661	7559.82	230.632	86.9741	2821.13	196.337	2260.92	1032.13	569.414	7383.69	5144.07	1006.81	118.237	71.0676	529.255	146.515	7692.21	170.53	757.12	536.218	119.808	352.617	352.76	259.781	283.016	783.579	1350.23	628.938	367.122	322.729	23.8387	86.4633	622.383	185.55	1402.95	1191.82	579.274	2823.95	1158.38	49.7042	296.647	65.1633	48.753	108.437	570.789	26.2705	576.7	216.479	47.6582	381.315	549.81	44.6062	458.628	374.272	29.5795	488.744	1339.79	308.858	133.379	77.4434	53.2081	26.2517	72.1903	581.66	313.435	63.7144	662.492	156.31	1256.71	29.0149	797.47	1450.04	2890.4	122.062	282.772	143.115	18.0591	57.1216	778.705	791.268	1090.48	282.313	169.718	142.645	472.062	96.1979	105.406	4.63979	3162.66	26.2154	140.465	322.288	402.738	130.06	28.9352	11.6948	88.1658	2675.36	2670.78	482.28	785.339	141.529	668.16	99.3737	24.8564	55.3922	129.803
Virus 10h_1	Virus	10hSARS_COV_2	2542.62	422.769	680.125	336.808	1217.3	402.793	7612.93	225.435	98.7394	3036.24	206.293	2366.21	1027.42	624.324	7415.73	5335.23	1063.07	134.156	78.5949	548.044	160.374	7744.46	179.369	765.412	537.599	116.6	398.182	360.296	251.367	244.037	835.703	1382.02	712.525	418.153	325.885	20.0419	92.7132	671.729	205.617	1416.33	1222.63	676.507	2838.28	1216.93	54.5559	316.27	66.6053	53.5122	102.643	631.172	23.3053	588.31	210.872	37.1418	363.138	557.935	27.9499	478.598	362.529	27.0284	551.916	1470.08	315.839	137.043	81.5237	56.2094	30.016	80.1195	643.106	321.863	55.0185	661.522	163.231	1286.95	25.2407	793.843	1493.64	2973.72	150.502	314.818	146.518	30.4316	53.9241	795.519	849.312	1166.07	289.085	193.515	143.716	490.286	102.067	103.592	4.64352	3257.69	24.0727	132.804	318.273	399.055	153.208	32.9441	17.5048	92.2246	2695.64	2746.62	497.908	823.471	134.589	709.658	96.8407	23.8535	56.024	140.807
Virus 10h_2	Virus	10hSARS_COV_2	2574.9	412.319	672.358	329.935	1241.53	387.235	7552.04	255.657	99.2652	2908.44	178.19	2321.03	1006.02	611.357	7459.77	5268.95	1101.37	130.755	83.8522	540.713	148.302	7858.98	181.211	744.896	531.633	107.898	375.466	394.849	240.392	276.441	820.142	1405.13	648.306	370.152	345.267	26.0456	98.2115	653.218	198.496	1417.01	1244.21	661.66	2848.49	1169.01	56.6384	288.339	58.9959	43.2583	116.835	604.022	23.5161	593.519	199.84	54.281	374.157	581.539	30.9346	518.492	381.942	27.3214	537.063	1393.66	317.76	124.59	89.4133	68.2626	31.5789	59.0213	620.277	307.031	59.8003	669.235	172.471	1259.73	23.6102	820.626	1475.77	2865.7	155.561	308.255	160	16.1301	48.032	829.92	830.417	1055.74	282.021	187.739	147.412	483.572	100.727	101.293	4.00386	3270.08	24.3141	131.968	314.802	397.909	136.388	24.0849	14.5927	91.2556	2732.2	2687.23	468.601	820.913	124.572	678.716	120.136	23.6814	51.3661	141.686
Virus 10h_3	Virus	10hSARS_COV_2	2649.13	374.531	614.983	317.576	1247.03	372.866	7793.06	228.153	91.0486	2913.68	202.506	2428.25	1043.76	617.307	7341.24	5366.45	1016.56	125.008	72.0861	532.63	161.886	7757.34	174.067	740.771	526.517	112.346	378.492	356.081	264.812	275.941	807.538	1343.93	599.479	373.185	342.747	31.5899	88.4618	645.347	189.595	1411.54	1213.51	609.261	2651.86	1104.87	55.9102	348.481	70.1048	49.6231	108.222	621.73	26.0018	582.054	218.247	50.3986	383.904	563.001	19.2759	456.265	347.654	27.1515	503.947	1312.03	311.166	103.141	77.002	60.4837	29.0902	63.6702	593.086	303.234	62.1749	633.235	165.283	1179.72	22.5618	783.858	1492.81	2930.74	136.1	291.995	138.406	17.7724	49.2794	756.126	781.901	1061.94	250.946	181.869	152.07	492	111.242	111.124	5.23163	3081.03	22.5996	112.507	301.172	403.739	133.154	27.3125	13.8226	88.7475	2663.62	2616.99	480.203	735.054	125.412	671.411	112.581	24.9793	56.0823	123.796
Virus 24h_1	Virus	24hSARS_COV_2	2661.14	352.409	698.136	338.542	1398.5	414.251	7522.48	257.993	100.414	2903.01	192.205	2650.86	929.805	578.613	7626.67	5336.64	1118.49	144.032	81.6825	605.535	159.07	7650.91	184.908	649.779	538.352	103.541	308.62	319.875	296.417	321.134	807.987	1464.03	764.407	444.718	330.635	18.6644	87.7678	703.655	201.059	1505.53	1150.83	778.038	2929.34	1212.75	71.7111	440.171	73.9055	53.2241	92.0622	636.826	23.6638	572.199	206.439	38.4496	414.447	568.071	30.502	486.733	371.106	25.242	562.201	1534.37	323.212	136.773	89.1901	104.665	31.7405	68.2169	695.323	329.753	60.4326	652.945	175.079	1295.84	27.6042	687.198	1328.58	2934.63	146.531	312.852	151.333	21.8063	56.2146	821.933	936.479	1103.23	291.881	194.991	186.295	454.513	92.5012	103.886	3.95495	3312.28	24.566	134.718	288.265	464.559	210.983	25.5047	17.0423	87.4575	2920.6	2823.52	569.095	835.516	128.54	659.108	99.6214	39.1341	61.5293	155.264
