	C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
GOBP_REPRODUCTION	-0.185688183	-0.156790242	-0.064700232	-0.169294013	0.030630331	0.110668829	-0.158802412	-0.007547061	-0.189988889	-0.011743372	-0.408331885	0.375865005	0.104325433	0.075789579	-0.085750636	-0.120267173	-0.339373337	0.152469087	-0.244253135	-0.08361212	-0.069120876	-0.391184055	-0.281888794	0.054080079	-0.09247995	0.059661825	-0.157696211	-0.002612985	0.030210944	-0.171226554	-0.276031154	-0.258046615	0.141072042	-0.251110335	0.00122371	-0.099560572	-0.108938421	-0.279147912	-0.079514614	-0.300621089	0.311991657	-0.157934551	-0.346794676	-0.011056377	-0.268066286	0.416715139	-0.207893414	0.306794129	0.288304983	0.267424966	0.325627426	0.15538211	0.22283656	0.215858273	0.20325625	0.33955981	0.146071528	0.39439767	0.310947213	0.363821323	0.442635371	0.146638462	0.144400311	0.345622105	0.302603857	0.460847472	0.264443508	0.530293185	0.184880907	0.380171634	0.313655022	0.565707545	0.356176306	0.462095322	0.468757069	0.20123572	0.518250089	0.233777315	-0.27651444	0.404946884	0.44604159	0.369526915	0.320825034	0.349833923	-0.091301642	0.215181334	0.005757117	0.054240261	0.355594605	0.519618214	0.219576608	0.196727844	0.236677284	0.174770486	0.222291663	0.168987295	-0.061169957	-0.162892949	0.311760716	-0.211482489	-0.275892246	-0.154152047	-0.511590681	0.168143796	-0.234546135	0.239003464	-0.45268346	-0.311826779	-0.080759488	-0.157888959	-0.137569718	-0.282739766	0.10684497	-0.13634206	-0.045729701	-0.241986622	-0.468694538	-0.27626819	0.094141561	0.300855359	-0.030314613	0.102854985	-0.480873213	0.05534848	-0.16438557	-0.217333017
GOBP_REGULATION_OF_DNA_RECOMBINATION	-0.203703704	-0.703703704	-0.364197531	0.938271605	0.858024691	0.25308642	-0.086419753	0.388888889	0.197530864	0.203703704	0.820987654	0.413580247	0.148148148	0.561728395	-0.969135802	-0.037037037	-0.580246914	0.209876543	0.475308642	0.672839506	0.425925926	0.037037037	0.290123457	0.765432099	0.913580247	-0.598765432	0.067901235	-0.456790123	0.728395062	0.617283951	0.240740741	0.456790123	0.672839506	-0.141975309	0.74691358	0.913580247	-0.617283951	-0.932098765	0.864197531	0.981481481	0.00617284	0.808641975	0.827160494	0.333333333	0.555555556	0.759259259	0.154320988	0.067901235	-0.12345679	-0.345679012	-0.592592593	0.104938272	0.043209877	-0.018518519	-0.308641975	-0.37654321	-0.864197531	-0.851851852	-0.75308642	-0.771604938	-0.314814815	-0.969135802	-0.969135802	0.314814815	-0.290123457	0.555555556	0.228395062	-0.216049383	0.074074074	-0.209876543	-0.648148148	-0.99382716	0.067901235	-0.074074074	-0.228395062	0.944444444	-0.567901235	-0.635802469	-0.450617284	-0.259259259	0.141975309	0.413580247	-0.277777778	-0.030864198	-0.018518519	-0.12962963	-0.358024691	0.160493827	-0.067901235	-0.407407407	-0.833333333	0.345679012	-0.018518519	0.432098765	0.672839506	0.407407407	-0.62962963	0.728395062	0.234567901	-0.092592593	0.901234568	-0.777777778	0.277777778	-0.203703704	0.00617284	-0.104938272	0.364197531	-0.043209877	0.49382716	-0.728395062	-0.74691358	-0.790123457	-0.222222222	0.851851852	0.12345679	0.401234568	-0.080246914	0.555555556	-0.074074074	-0.530864198	-0.987654321	-0.086419753	-0.62962963	0.820987654	-0.950617284	0.962962963
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	-0.071619665	0.304424491	0.241895038	0.130520595	0.415452994	-0.193863334	-0.199867895	0.587217717	0.267354106	-0.351760229	0.522014409	-0.410080859	0.54132417	-0.341129794	-0.001310598	-0.050487653	-0.17472939	0.008949626	0.495791736	-0.012885418	0.718869322	0.464313626	-0.174681442	0.388925169	-0.186568416	-0.578667455	0.228612487	0.240582786	-0.053677494	0.236692406	-0.410934279	0.355944972	-0.268084998	0.486687956	-0.389052569	-0.12575058	0.218525678	0.55551983	0.185984068	0.423244629	0.061782835	0.605074511	0.112114214	0.551842835	0.602449283	0.232407582	0.640613519	-0.089134613	-0.351051014	-0.527021598	-0.393375082	-0.479264406	0.490917655	-0.400139346	-0.655024863	-0.317213095	-0.266911868	-0.68067961	-0.376647971	-0.249162593	-0.564036109	-0.404937591	0.153009049	0.226041939	-0.458891538	-0.099137674	0.015132149	-0.354597375	0.324128787	-0.360607556	-0.044500465	0.211048956	-0.180799595	-0.525853007	-0.526633327	-0.500164393	-0.436088009	0.350095341	0.567165483	-0.567906399	0.434287168	-0.710182417	-0.449716916	-0.110248884	0.650015126	-0.467931376	0.584481993	-0.158646392	-0.502340251	-0.203393383	-0.118821846	-0.531491287	-0.347632443	0.022870845	0.156124441	-0.408816738	-0.064043483	0.023122699	0.200918862	0.099314962	-0.13583296	-0.539377764	-0.059673352	-0.160153439	-0.345189351	-0.56695045	0.151289349	0.343873895	-0.173491371	-0.035665637	-0.02461441	-0.500242419	-0.09670387	-0.103647923	0.090816386	0.377162278	0.023757484	0.093038964	0.364691738	-0.216837177	-0.433379555	-0.181443353	0.296728177	0.109892919	-0.278814124	0.157629063
GOBP_CELL_CYCLE_CHECKPOINT	-0.233116202	0.281845442	0.365744316	0.239089999	0.497321429	0.418035735	0.424728167	0.453076121	-0.303876679	0.013985414	0.24328398	0.16463951	0.16986499	-0.093169635	0.156947997	0.390313534	0.02844303	0.488688656	0.439529547	0.224812818	0.684086358	0.322685185	0.510582011	0.519856435	0.379000429	-0.130555556	-0.16393843	0.184859585	0.088173997	0.39364245	0.036507937	0.25387149	-0.136186746	0.149076428	0.306849144	-0.169095912	-0.097114599	0.171428571	0.128173201	0.272909035	-0.044432932	0.599837794	0.210080084	0.375564121	0.488888889	0.040939683	0.369501789	-0.174603175	-0.42533608	-0.290859332	0.004895961	-0.17721598	0.027568922	-0.081621725	-0.267209842	0.255591768	-0.462213273	-0.40974026	0.058224614	0.206575964	-0.147549863	-0.191880342	-0.163764822	0.079065379	-0.27795861	0.133522862	-0.070697057	-0.122029454	0.346400886	-0.004655195	-0.332082324	0.212277506	-0.36224631	-0.33624752	-0.352541828	-0.120698413	-0.088112124	0.059850607	0.090196078	-0.467068547	-0.007197481	-0.634154291	-0.125717183	-0.067609806	0.274077864	-0.516708438	0.084566327	0.451932656	-0.353968254	-0.293547274	0.051242373	-0.472057502	-0.082240896	-0.482738095	-0.001843712	-0.237045783	-0.231956872	0.008752002	0.085730763	-0.090838675	-0.077848851	-0.493061956	-0.279782495	-0.424013507	-0.484148562	-0.581309951	0.291982782	-0.06031746	-0.315873016	-0.592249222	-0.495533407	-0.374938192	-0.135623679	0.120086788	-0.184428419	0.00430839	0.25910485	0.041910587	-0.540634921	-0.5335097	-0.28302111	-0.314376789	-0.174603175	-0.00343062	-0.478919208	0.255586377
GOBP_DNA_REPLICATION_CHECKPOINT	-0.049382716	0.148148148	0.327160494	0.598765432	0.981481481	0.790123457	0.654320988	0.12962963	0.388888889	0.222222222	0.62962963	0.543209877	0.660493827	0.456790123	0.111111111	0.709876543	0.308641975	0.771604938	0.932098765	0.611111111	0.907407407	0.864197531	0.907407407	0.851851852	0.543209877	0.037037037	0.302469136	0.364197531	0.401234568	0.759259259	0.185185185	0.62345679	0.166666667	-0.179012346	0.456790123	-0.543209877	0.697530864	-0.043209877	0.87654321	0.320987654	0.197530864	0.382716049	0.574074074	0.401234568	0.518518519	0.660493827	-0.314814815	-0.098765432	-0.425925926	0.382716049	-0.216049383	-0.00617284	0.524691358	-0.308641975	0.012345679	-0.061728395	-0.858024691	-0.895061728	-0.086419753	0.62962963	-0.37037037	-0.697530864	-0.703703704	0.185185185	-0.061728395	0.302469136	-0.234567901	-0.586419753	-0.037037037	-0.080246914	-0.932098765	0.351851852	-0.530864198	0.037037037	-3.33E-15	0.401234568	0.12345679	-0.228395062	-0.111111111	-0.074074074	-0.549382716	-0.549382716	-0.62962963	0.074074074	-0.179012346	-0.944444444	-0.37037037	0.154320988	0.074074074	-0.135802469	-0.172839506	-0.450617284	-0.432098765	-0.925925926	-0.49382716	-0.592592593	-0.672839506	-0.228395062	-0.574074074	-0.444444444	-0.049382716	-0.290123457	-0.271604938	-0.679012346	-0.771604938	-0.962962963	0.425925926	-0.277777778	-0.604938272	-0.709876543	-0.777777778	-0.327160494	-0.537037037	0.104938272	0.074074074	-0.320987654	0.567901235	-0.037037037	-0.654320988	-0.950617284	-0.679012346	-0.586419753	0.197530864	0.086419753	-0.796296296	0.895061728
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	0.74691358	-0.851851852	-0.567901235	-0.882716049	-0.475308642	0.351851852	-0.327160494	-0.432098765	0.111111111	0.660493827	-0.74691358	-0.549382716	-0.62345679	0.75308642	0.901234568	-0.530864198	-0.598765432	0.697530864	-0.679012346	0.030864198	-0.475308642	-0.888888889	0.135802469	-0.888888889	0.432098765	0.956790123	-0.777777778	-0.907407407	-0.308641975	-0.388888889	0.308641975	-0.882716049	0.283950617	-0.425925926	0.148148148	-0.265432099	-0.771604938	-0.827160494	-0.716049383	-0.543209877	-0.333333333	-0.919753086	-0.827160494	-0.907407407	-0.950617284	0.543209877	-0.969135802	0.685185185	0.919753086	0.308641975	0.919753086	0.580246914	-0.283950617	0.845679012	0.882716049	0.438271605	0.648148148	0.820987654	0.851851852	0.790123457	0.672839506	0.228395062	0.722222222	0.87654321	0.234567901	-0.203703704	0.635802469	0.574074074	-0.271604938	0.617283951	-0.339506173	0.950617284	0.030864198	0.858024691	0.790123457	0.055555556	0.827160494	-0.432098765	-0.722222222	0.987654321	-0.734567901	0.475308642	0.185185185	0.691358025	-0.820987654	0.907407407	-0.981481481	-0.388888889	0.981481481	-0.030864198	0.586419753	0.901234568	0.12962963	0.419753086	-0.432098765	0.858024691	0.654320988	-0.679012346	-0.320987654	-0.320987654	-0.839506173	0.475308642	-0.592592593	0.512345679	0.537037037	0.907407407	-0.814814815	-0.308641975	0.12345679	-0.672839506	-0.055555556	-0.574074074	-0.154320988	-0.864197531	-0.845679012	-0.648148148	-0.845679012	-0.567901235	-0.438271605	-0.055555556	0.907407407	-0.882716049	-0.882716049	-3.33E-15	-0.50617284	-0.790123457
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	-0.19778165	-0.131766334	-0.186050557	-0.189228792	-0.125903212	-0.125111818	-0.155007652	-0.236076627	-0.377728039	0.152071958	-0.28377319	0.145314715	-0.504215165	0.284125913	0.424015815	-0.036487865	0.01828609	0.026368306	-0.171843187	0.356982573	-0.215857053	-0.213047534	0.071382127	-0.195422407	-0.150713788	0.246241136	-0.270556731	-0.495289505	-0.181380979	-0.246903161	-0.004899614	-0.142776267	-0.239407145	-0.19818929	0.47197311	-0.390497728	-0.365489918	-0.183701043	-0.475618342	-0.244543455	-0.333920266	-0.34645503	-0.032072947	-0.433401818	-0.169663895	-0.205844569	-0.436807904	0.082852524	0.177201526	-0.161144237	0.311354171	0.221831055	-0.606763317	0.579792772	0.517035845	0.065689134	0.376262324	0.491923629	0.502273895	0.099718157	0.178181063	0.008170744	0.218223552	-0.445673128	0.242184733	-0.441037663	-0.353004051	0.123050938	-0.335860962	0.064110947	0.080142261	-0.316838319	-0.071800191	-0.020497588	0.408696878	-0.041046124	0.218660634	-0.394516776	-0.305873208	0.144686865	-0.575382592	-0.291010767	0.364577991	0.16154485	-0.413810637	0.319998831	-0.42872244	0.076293844	0.095985488	-0.244690744	0.162818323	0.154014903	0.101916986	-0.115442554	-0.081655918	0.110081694	-0.124606976	-0.03536048	0.021123775	-0.05270704	-0.202291055	-0.131222369	0.066927897	0.322890046	0.242173913	0.318127339	-0.033319429	0.224418746	0.465871923	0.098022553	0.125579539	0.391195635	0.506551641	-0.240375865	-0.223926734	-0.273319978	0.199603873	-0.23621768	-0.386913929	0.138398635	0.519050067	-0.444672269	-0.296445841	0.230952092	0.106375084	-0.120490322
GOBP_MAPK_CASCADE	-0.148953011	-0.142481502	-0.220907674	-0.450297841	-0.39646654	0.172682115	-0.374707972	0.234240244	0.115358285	0.133218906	-0.258384628	0.37584298	-0.033286677	0.315172211	-0.027337962	-0.555618005	-0.226342976	0.261329929	-0.195578318	-0.011418758	0.200934432	-0.253718959	0.012046664	-0.149341758	0.117088608	-0.020176037	-0.180035882	0.048344277	0.275552998	-0.332308208	-0.076793249	-0.165385423	-0.026527429	0.31126646	0.119997641	-0.125944554	0.21939502	-0.29150928	-0.207682098	-0.101841715	0.288282738	0.231471137	-0.238172156	-0.153452278	-0.264799536	0.050453944	-0.113975561	0.071182997	-0.07278481	0.255060699	0.446802897	0.075339598	0.209027315	0.064932857	0.170573527	0.092232648	0.272960083	0.304507394	0.476464207	0.538747452	0.287888795	0.224127118	0.079260021	0.54899118	-0.058969895	0.306438709	0.245689518	0.085132624	0.234056919	0.589597552	0.130064513	0.155617836	-0.261164258	0.304743745	0.274628509	-0.153920191	0.258294219	0.120813852	-0.402426456	0.30337035	0.027044121	0.204028505	0.371897258	0.200125536	-0.410987176	0.079405635	-0.096420426	0.13085898	0.311392405	0.056884186	0.480351778	-0.105559343	0.239797439	0.014705705	0.009852538	0.371840851	-0.309988524	0.117938288	0.099351255	-0.441165591	-0.260732998	-0.498677868	-0.352501066	-0.331303371	-0.054268083	-0.177860205	-0.36993878	-0.2487989	-0.047946098	-0.320153914	-0.530487143	-0.20529244	-0.04790896	-0.245423268	-0.235306918	-0.4168083	-0.087950413	-0.098109282	-0.060857754	-0.534167478	0.262122627	-0.288158368	-0.440109506	-0.035866569	-0.069599587	-0.288155299
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	-0.061728395	0.802469136	-0.37654321	-0.635802469	-0.50617284	0.740740741	-0.759259259	-0.648148148	-0.932098765	0.283950617	0.308641975	0.166666667	-0.962962963	-0.654320988	0.981481481	0.228395062	-0.030864198	-0.166666667	-0.728395062	-0.074074074	0.067901235	-0.759259259	-0.018518519	-0.512345679	0.456790123	0.820987654	-0.413580247	-0.277777778	-0.802469136	-0.765432099	0.907407407	-0.672839506	0.191358025	-0.827160494	0.969135802	-0.907407407	-0.734567901	-0.611111111	-0.851851852	-0.771604938	-0.296296296	-0.808641975	0.012345679	-0.950617284	-0.518518519	-0.956790123	-0.679012346	0.432098765	0.932098765	0.691358025	0.49382716	0.24691358	-0.925925926	0.530864198	0.697530864	0.820987654	1	0.814814815	0.759259259	0.962962963	0.537037037	0.216049383	-0.648148148	-0.425925926	0.561728395	-0.012345679	-0.407407407	0.104938272	-0.672839506	-0.160493827	0.808641975	0.814814815	0.845679012	0.598765432	0.802469136	-0.407407407	0.99382716	-0.160493827	-0.320987654	0.814814815	-0.722222222	0.061728395	0.364197531	-0.802469136	-0.734567901	0.864197531	-0.660493827	-0.055555556	0.055555556	0.012345679	0.185185185	0.759259259	0.888888889	0.401234568	-0.018518519	-0.320987654	0.74691358	-0.802469136	0.037037037	-0.24691358	-0.734567901	-0.154320988	0.00617284	0.703703704	0.728395062	0.50617284	-0.302469136	-0.401234568	-0.592592593	-0.024691358	-0.018518519	0.950617284	0.99382716	-0.796296296	-0.783950617	-0.691358025	-0.043209877	-0.759259259	-0.845679012	0.061728395	0.882716049	-0.975308642	-0.851851852	0.141975309	-0.00617284	-0.660493827
GOBP_PROTEIN_POLYUBIQUITINATION	-0.118584068	-0.302292176	0.060535759	-0.186350772	-0.161630675	-0.024626636	-0.069499551	-0.301148654	-0.03942929	-0.121256715	-0.344736251	0.181377762	-0.204569524	-0.106019362	0.169975186	-0.06729956	0.055048893	-0.07125939	-0.092185131	-0.173224053	-0.045017941	-0.09369564	0.050175058	-0.114323638	0.043508101	0.160451445	-0.130130826	-0.066478239	-0.146775677	-0.303640066	-0.059864848	-0.087017181	-0.236442446	-0.226878005	0.068432671	-0.437845092	-0.135510646	0.060408347	-0.077411392	-0.1905913	-0.212692513	0.040240461	-0.038243188	0.106948809	-0.153070887	-0.199431874	-0.067320121	0.121168915	0.097879982	0.013833499	0.098024403	-0.17741832	-0.383125986	0.113902764	0.16908193	0.21060006	0.165919922	0.051183638	0.177884127	0.173474867	0.156610706	0.129852251	0.019541467	-0.167971004	-0.01859391	-0.143509706	-0.26221299	-0.12167579	0.035033515	0.201471512	0.241208501	0.112651653	0.041190338	0.0086864	0.163190759	0.017002268	0.182834652	-0.046475521	-0.113317089	-0.071563372	-0.180708729	-0.142122814	0.254909114	0.096136899	-0.233369259	0.099175417	-0.034558518	-0.055551144	0.073043819	-0.252263502	0.119011343	-0.057676604	-0.065596817	-0.126579654	0.06885684	-0.02478208	0.153475654	-0.025697088	0.017557348	0.069344656	-0.20238434	-0.036255411	0.016942223	0.024429237	0.0719054	0.143892492	0.060728533	0.037931943	0.018325667	0.034004538	0.044521429	0.285382179	0.318883332	-0.216815843	-0.111478043	-0.086700965	0.007066561	-0.16210134	-0.18110351	0.033714	0.209701376	-0.133456502	-0.055025453	-0.080419315	0.089404535	-0.281453993
