C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
GOCC_HISTONE_DEACETYLASE_COMPLEX	0.590866873065015	0.0897832817337483	0.653250773993809	0.0681114551083606	0.554179566563467	0.182662538699692	0.300309597523221	0.272445820433437	0.0389796456096435	0.449011963459847	0.565015479876161	0.328173374613003	0.49320042822835	-0.0123839009287899	0.566637889973803	0.393188854489164	0.622291021671826	0.462278391325108	0.727554179566564	0.86687306501548	0.507739938080496	0.750060199518404	0.356037151702787	0.106660967607781	0.233165634674922	0.778174301551695	-0.241486068111453	-0.55108359133127	0.182662538699692	0.681114551083592	-0.326947368421049	0.3134520123839	0.513931888544892	-0.582043343653255	0.640866873065016	0.118937048503612	-0.572755417956658	-0.910216718266261	-0.634674922600623	0.0773993808049536	0.39938080495356	-0.755417956656352	0.00515463917525766	-0.668730650154802	0.922970996600125	-0.794016691344737	-0.788269693842455	-0.531130886631298	-0.916408668730657	-0.489476977801201	0.0723131357806297	0.418850210173928	-0.167182662538698	0.0681114551083615	0.385118278277074	-0.743034055727559	-0.352941176470588	0.179894924476969	-0.336276615909521	-0.269827619156823	-0.807677616501151	-0.13003095975232	-0.0340557275541782	-0.662538699690407	0.789473684210526	-0.643962848297216	-0.659442724458207	-0.907120743034063	-0.92879256965945	-0.258169934640521	0.513931888544893	0.13810518087284	-0.385464712200668	0.290096654836517	0.00619195046439819	0.0743034055727561	0.606811145510836	-0.0185758513931875	-0.0340557275541775	-0.588235294117649	-0.752321981424154	-0.56965944272446	-0.408447589562138	0.659442724458205	0.0495356037151702	0.577055383556932	-0.596849667950749	-0.885448916408676	-0.281377187184747	-0.671826625387	-0.809293804130586	-0.402476780185758	-0.492260061919507	-0.753048099326551	-0.82662538699691	-0.083591331269348	-0.552946738102742	-0.0371517027863776	-0.393487394957981	-0.3312693498452	0.559373177188496	-0.910216718266261	-0.0185758513931868	0.0123839009287929	-0.835887935847339	-0.662004643962849	0.661362229102167	-0.814241486068117	0.28482972136223	0.0835913312693507	-0.0290505675954597	0.397058823529412	0.720665634674923	0.143411670888451	0.377102096819589	-0.0495356037151682	0.594427244582043	-0.0987842633844294	0.0247678018575877	-0.631578947368423	0.80656473115562	0.0309597523219829	0.152254368171951	0.565249769893733	-0.111455108359131	0.693498452012383
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	0.827160493827161	0.759259259259259	-0.53086419753087	-0.166666666666671	0.475308641975307	-0.253086419753091	0.530864197530863	0.796296296296296	0.907407407407407	0.0617283950617253	0.783950617283951	-0.728395061728402	0.796296296296296	-0.549382716049388	0.0123456790123424	0.666666666666666	0.703703703703703	-0.296296296296301	0.895061728395062	0.259259259259257	0.333333333333331	0.580246913580246	0.160493827160491	0.0555555555555525	-0.31481481481482	0.518518518518517	0.549382716049382	0.154320987654318	0.444444444444443	0.728395061728395	0.148148148148145	0.919753086419753	0.574074074074073	0.030864197530861	-0.506172839506178	-0.691358024691364	0.839506172839506	-0.57407407407408	-0.555555555555561	-0.395061728395067	0.604938271604938	-0.512345679012351	0.22222222222222	-0.0555555555555591	0.901234567901235	0.327160493827159	0.22222222222222	-0.0432098765432134	-0.283950617283955	0.604938271604938	0.30864197530864	0.543209876543209	0.185185185185183	0.0617283950617253	-0.48765432098766	-0.938271604938279	-0.975308641975316	-0.783950617283957	-0.123456790123461	0.561728395061728	-0.765432098765439	-0.962962962962971	0.685185185185185	-0.888888888888896	-0.512345679012351	-0.851851851851859	-0.277777777777782	-0.950617283950625	-0.987654320987662	-0.0185185185185219	-0.129629629629634	-0.53086419753087	-0.271604938271609	-0.524691358024697	-0.753086419753093	-0.283950617283955	-0.246913580246918	-0.191358024691362	0.660493827160493	-0.388888888888894	-0.555555555555561	-0.191358024691362	-0.432098765432104	0.209876543209874	0.635802469135802	-0.203703703703708	0.561728395061728	-0.753086419753093	-0.0925925925925963	-0.580246913580253	-0.808641975308649	-0.123456790123461	-0.40123456790124	-0.419753086419758	-0.925925925925933	-0.685185185185192	-0.290123456790128	-0.265432098765437	-0.166666666666671	-0.419753086419758	-0.160493827160498	-0.74691358024692	0.543209876543209	0.160493827160491	-0.524691358024697	-0.648148148148154	0.839506172839506	-0.654320987654327	0.697530864197531	0.203703703703701	-0.70370370370371	-0.413580246913585	0.555555555555555	-0.382716049382721	0.160493827160491	0.432098765432097	0.586419753086419	-0.0493827160493863	-0.166666666666671	-0.777777777777785	-0.500000000000006	0.327160493827159	0.746913580246914	-0.685185185185192	0.604938271604938	0.259259259259257
GOCC_UBIQUITIN_LIGASE_COMPLEX	-0.0880318459148847	-0.126050440689357	0.214370375387325	-0.120035221502214	-0.00519883941775537	0.175494174072374	-0.00247388338456686	-0.201216713906307	0.0952815360792096	0.0154831856503213	-0.037551094826116	0.0205070426064898	-0.173798201215439	-0.0605363420218101	0.336995754909335	-0.200188877017262	0.140722307196677	0.0153638450947672	-0.0857494787581333	-0.197116319709388	0.084398941698372	0.0507241379713381	0.188228199494075	0.170023852196678	0.0582912747811503	0.00152388907153844	-0.286541905185973	-0.127197494035148	0.00649464674289962	-0.167041385496707	0.0306690065471277	-0.0242751307752186	-0.167888467849512	-0.352848961475158	0.144620228702764	-0.463481673719331	-0.0919860416137578	0.442558246906073	0.080713280150164	-0.0669877208705231	-0.285185688098309	0.110008161120039	-0.103926123959513	0.23956972159369	-0.0338760964561517	-0.316480816480816	-0.141528348670147	0.158495418742967	0.142696126306505	-0.0917065390749604	0.14330126051351	-0.277580382202297	-0.380766002181845	0.156885067130763	0.152634420840326	0.264914155270827	0.256409533058098	-0.037362757579364	-0.153670082886234	0.054721291770424	0.0475217090601703	0.213104269958581	-0.0226480628376367	-0.114165883580558	-0.190586429008384	-0.344364937388193	-0.254823962371132	-0.0271054768455118	0.258032961783641	-0.0810316585270607	0.113724471814657	0.160989904454207	0.0687068195379103	0.0593499270170484	0.168077037859749	-0.106276232177241	0.223205919219209	-0.122722063124204	-0.187946698970321	0.11946069790884	-0.228681991041455	-0.328970665036238	0.20288669626418	-0.10589875241038	-0.152157323892565	-0.115099403716053	-0.218490382996863	-0.0117142052343452	0.00848453325301812	0.0980390988908886	0.258025525690593	-0.0365702025861212	-0.140444383909273	-0.119695394461472	0.0349019079080421	-0.232378338761317	0.151567392939297	0.109821384995862	-0.00514004615600722	0.0146496502428707	-0.279827993078801	0.0579221191747009	0.0921562303586549	0.270630640930369	0.0602590890806878	0.0576021518301915	0.0147425246641952	0.215811018250044	0.039023188106783	0.151863703686728	0.157695801508254	0.311207764995542	0.0715308787597937	-0.170312239559786	-0.100857244572517	0.014637417377144	-0.115364277288503	-0.0690257104064463	-0.0819645470808263	0.0629121139006674	-0.0641227358948305	-0.0931576244402101	-0.108517924624297	0.135001571613174	-0.0652101225284436	-0.216630664274643
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	-0.346672527706734	0.72396396016205	0.0872420106524635	-0.168749999999997	-0.273828677510605	-0.0390034039334333	0.100000000000001	-0.335391475211605	-0.0531566570188119	-0.357276831129195	0.466483684985282	-0.0590164510686147	0.276558384547851	-0.496812080536917	0.7375	-0.617105121002594	0.112500000000001	-0.157177419354837	-0.479735824742267	-0.70117637289637	0.495765163607343	-0.218358559498952	-0.0440530303030285	0.186517214799592	-0.103303062678062	-0.218840271877653	-0.545406125166444	0.746592960288809	-0.133459236031926	-0.516647069464541	-0.150186663233778	-0.193505313199102	-0.690873873027803	0.109659090909093	-0.515716133584192	-0.799573100537231	-0.621319018404912	0.286683732612056	0.017316001191897	-0.172209252971133	0.357896784232366	0.366464949651435	-0.658821825764597	0.260227272727275	0.00275074850299556	0.362662914691944	0.0739151554404165	-0.209864631336403	0.489757670850767	0.428885561160152	0.6625	0.396351084812623	0.266487765466299	0.310580279232112	0.326110781990522	0.686296791443849	0.688282181168057	-0.0338298791018993	0.459250000000001	0.818749999999999	0.554848454833598	0.402053686934024	-0.105388838748494	0.492157887402453	0.274027317880796	0.1872134279476	-0.0343749999999977	0.658212560386473	0.791310408921933	0.568432820299501	0.537789145907474	0.496879442075334	0.77547806828003	0.355181055646483	0.826294233289646	-0.0989107024519528	0.804835893854748	0.6511486935341	0.00193280346820951	0.0968750000000009	0.182526750972765	-0.481250000000001	0.0498659844054588	0.0538856050069558	-0.166239161849709	0.448543829296427	0.229479994324633	0.576160782808902	-0.571340503672611	-0.531507304116863	0.421983311938383	-0.75180229716521	0.55667845484222	0.519148089171974	-0.086367242595203	-0.725119644484967	0.809374999999999	-0.513824057450627	0.493300763701709	-0.369811932555121	-0.849955869373351	-0.690388033175362	-0.73995348139256	-0.323140420899851	-0.865625000000009	-0.533252224694104	-0.904255529225918	0.408977503382951	-0.475719227967954	-0.270098559962227	-0.534460689802914	-0.477963147410359	-0.235848257502418	-0.553540316045387	-0.533322824716265	-0.348420936395756	-0.50501829475834	-0.667455915813431	0.0963991769547343	0.105910515320336	-0.388707552693208	-0.646422647768401	-0.553750000000005	-0.350095897264843	-0.287463803088801	-0.739402648428413
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	0.0846559048428206	-0.298481308411215	0.669445971535031	-0.249221183800623	-0.450167623385044	0.214935228953921	0.0359755394023306	-0.416439794121631	-0.342604536878592	-0.0964377624271976	0.0542385792573391	-0.521218508736286	-0.321322388448645	-0.737884298219647	0.27008581832998	-0.334056802188592	0.466899135066964	-0.510130775363927	-0.561914860388463	-0.746289359182307	-0.345059747989027	-0.182940680166148	0.162427408779635	0.118249787595582	-0.169080566599542	-0.285558102627403	0.0467289719626168	0.0272264140158334	-0.682421499357944	-0.502481305002829	-0.292868752539618	-0.0778816199376947	-0.443495541948652	-0.502037189867583	-0.598092850087379	-0.583239875389408	-0.124610591900312	0.716451796840231	0.176017390275642	-0.433021806853582	-0.619760069956824	-0.0728422210005499	-0.401355848201643	0.59646690146704	-0.401379617267468	-0.562117222688387	-0.309641110218351	0.334565278957802	0.723155660538838	-0.572132123877588	-0.370443130523237	-0.621895746742586	-0.894988819448426	-0.223498310736694	-0.169420338228749	0.246369342129375	0.264777939541946	-0.4668398861317	-0.779728788711746	-0.130405654373095	-0.373930552389636	0.270142578301728	0.133248371566129	0.140468773179053	0.0209737013692675	-0.323851435138977	-0.651090342679128	0.251279232037891	0.704233695929728	-0.345198464560781	0.149532710280374	-0.279990133472196	0.588871581862236	-0.00864115116451558	0.205210507213501	0.0447294896857063	-0.0949542522138005	-0.00369937694704059	0.239128831867869	0.230050075950671	0.199259991706804	-0.595785229979842	0.0145870755560182	-0.317736780353603	-0.212951038830427	-0.774353225684561	-0.118715896806054	-0.407877169559413	-0.0806229157231668	0.826089365085572	0.169325914084276	0.157189196133218	-0.320872274143302	0.284091777228857	0.310270324590493	-0.595015576323987	0.041042144242638	-0.270185333917445	0.0891095534787123	0.700647159175197	-0.304110067732846	0.847352024922118	0.505089940709476	0.706513967621674	0.597029199554501	0.259539510096937	-0.164889649423018	0.691585236909146	-0.339379779099405	0.889896768676318	0.42309757130327	0.532736179249821	-0.180214111502018	-0.11444524323029	0.545997072401757	0.437877954920286	-0.087227414330218	0.144099108889372	0.787417213239475	0.665768443864639	0.103963025381748	0.116849132176235	0.277258566978193	-0.20403863824828	-0.234478091118094	-0.555988231221876
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	-0.461396896179499	0.707603850377931	0.179714515151018	-0.562111801242229	-0.136467821811576	0.219528289322339	-0.156818308992223	0.313840997502529	0.311733534154582	0.252215124665155	-0.264309603440041	-0.0621118012422376	-0.599378881987573	-0.137435393300268	-0.259253979567593	0.0031055900621105	-0.401901057686584	0.717399126992819	-0.382398395852694	-0.0962732919254675	0.625040863027133	0.22919254658385	-0.461515309054092	-0.540372670807449	0.339308727628607	0.278837164628289	-0.037267080745343	-0.18745341614907	0.153331163488747	-0.394560130231298	0.650745794985719	0.508322981366461	-0.111801242236026	-0.243192706030716	0.696542714294755	-0.0511051586053172	0.235754341063494	-0.258472574577905	-0.510404099080984	0.21996250514678	0.232736289662477	-0.0135665250081736	0.514006844974014	-0.611801242236021	0.109829343303382	-0.668837541886902	-0.402796010737308	0.510435498594876	0.29373996789727	0.587329192546583	-0.384787699826903	-0.112473000485734	-0.346097145892276	0.332298136645962	0.545839439830646	0.00303490136570433	0.332126377554335	0.344726720521789	0.571428571428572	0.677501220661542	-0.240288246999941	0.00887759583411607	-0.17507665696989	-0.117484933602355	0.55309016272487	-0.0933528032577858	0.600013357376611	0.285207250602104	-0.425259439169795	0.0031055900621102	0.340141002255113	0.0568163013139447	0.613089064903983	0.0975586389691671	0.562111801242235	0.0768574870535217	0.779676897734657	0.142857142857142	0.199663883768838	0.468944099378883	0.0586158274387318	0.654547237659365	-0.329044980749369	-0.503139254995034	-0.28536680710594	-0.113953547490532	-0.126516961299572	-0.524585266137274	0.473376864681212	-0.755874376694945	-0.508311842407953	0.00405679513184465	-0.0342341643976332	0.35078847978234	0.359119141727837	0.0465838509316759	-0.251745988814081	-0.484619544731969	0.308359832387292	0.0683229813664583	-0.634059939069025	-0.360248447204968	-0.493947710530112	0.18689371205248	0.4986950452182	0.0341614906832285	0.498268564832628	-0.54037267080745	-0.658385093167694	0.0496894409937874	-0.770657644464636	0.835019225081337	0.814842578710645	-0.183658993097365	-0.533350535414783	-0.4085753216188	-0.018633540372672	-0.502444826219108	-0.619018749020478	-0.101874282799951	0.544513457556936	-0.111869647303474	0.144857649535689	-0.54799305416416	-0.518114309226637	-0.49966426053382
GOCC_NUCLEAR_CHROMOSOME	0.259180560095891	-0.489663483823121	0.118012422360247	0.680124223602487	0.518633540372671	0.728233897939368	0.654459894956344	-0.312090530077429	-0.164497435417253	0.64041306872696	0.357502346667731	0.70496894409938	-0.293354682026261	0.0776397515527937	0.174319429253754	0.201110483719178	-0.0427246694113276	-0.0845777719043231	0.565217391304348	0.276397515527949	0.509316770186336	0.769400894988683	0.429448301059554	0.530177551916682	0.162770118700047	-0.471545460796221	0.453416149068323	-0.307453416149068	-0.133540372670809	0.791306464071444	0.43167701863354	0.692336648858388	0.586801579067918	0.518407164787277	0.139899438036083	-0.331091301129597	-0.488724147910681	0.22144984259338	0.375776397515527	-0.0685618729096997	-0.615160781741031	0.155279503105589	0.734925599892757	-0.0155279503105601	0.363354037267081	0.123783913876571	0.21851043590174	-0.524099673949924	-0.481366459627325	-0.602484472049686	-0.509234848146324	-0.546583850931673	-0.0635856405937486	-0.48354153581315	-0.529021643475705	-0.332578039612933	-0.521739130434779	-0.363354037267078	-0.468944099378877	-0.576113176325265	-0.462732919254654	-0.427067259689569	-0.615942028985501	-0.743612729717607	-0.753499318716703	-0.524844720496894	-0.463431005781585	-0.203229813664598	0.420090993231263	-0.728518963562199	-0.504692478397241	0.287876539545926	-0.63754693618691	0.0993788819875763	-0.111970392021545	0.0745341614906819	0.0818032068428764	-0.529944022697645	-0.18633540372671	-0.0518042253070981	-0.45787109998661	-0.271593638566457	-0.504630298361336	-0.651387461459399	0.0124223602484458	-0.60380524023702	0.295272195834856	-0.607178417334402	-0.224709153536502	0.65217391304348	-0.577639751552792	-0.0401389167167582	-0.34669345999269	-0.522619132890605	0.789394345148109	-0.462990922121354	0.0236794272778962	0.0245910111726054	-0.807778960531611	-0.355200918831514	0.459792960662526	0.425295948462155	0.278455511337573	-0.2680134822886	0.226054967611228	-0.428571428571425	0.428571428571429	0.118136645962732	0.0124223602484458	-0.565361229159856	-0.565217391304344	-0.527910622507092	-0.581254454739839	-0.251552795031054	0.434071564506347	0.332322849564229	0.322981366459627	0.266351966873706	0.0496894409937878	-0.434782608695649	-0.0838509316770202	-0.480217816727646	0.227743271221531	0.701863354037268	-0.22069512356284	0.590251284799949
GOCC_PERICENTRIOLAR_MATERIAL	-0.0061728395061762	0.876543209876543	-0.839506172839513	-0.722222222222229	0.586419753086419	0.462962962962962	0.450617283950616	-0.320987654320992	-0.0185185185185219	0.39506172839506	0.320987654320986	0.141975308641973	-0.808641975308649	-0.117283950617288	-0.296296296296301	0.166666666666664	0.0185185185185153	0.666666666666666	-0.0679012345679049	0.660493827160493	0.185185185185183	-0.172839506172844	0.932098765432099	0.641975308641975	0.999999999999996	0.419753086419752	-0.611111111111117	-0.580246913580253	0.339506172839504	0.191358024691356	0.635802469135802	-0.493827160493833	0.648148148148148	0.604938271604938	0.691358024691358	0.691358024691358	-0.296296296296301	-0.685185185185192	-0.580246913580253	-0.123456790123461	-0.543209876543216	0.0679012345678982	-0.333333333333338	-0.407407407407413	-0.549382716049388	0.61111111111111	-0.518518518518524	0.419753086419752	-0.716049382716056	0.259259259259257	0.26543209876543	-0.240740740740745	-0.339506172839511	0.228395061728393	0.506172839506172	0.617283950617283	-0.197530864197535	0.864197530864198	0.203703703703701	0.641975308641975	0.296296296296294	-0.629629629629636	-0.604938271604944	0.839506172839506	0.111111111111108	0.0617283950617253	0.172839506172837	0.407407407407406	-0.172839506172844	0.783950617283951	-0.40123456790124	-0.709876543209883	-0.333333333333338	-0.438271604938277	0.703703703703703	-0.858024691358032	0.462962962962962	-0.586419753086426	-0.932098765432106	0.216049382716047	-0.0185185185185219	0.388888888888887	-0.154320987654325	-0.61728395061729	-0.987654320987662	-0.709876543209883	-0.685185185185192	0.907407407407407	0.549382716049382	0.999999999999996	-0.364197530864202	0.333333333333331	0.981481481481481	-0.895061728395069	-0.6604938271605	0.209876543209874	0.216049382716047	-0.611111111111117	0.450617283950616	-0.623456790123463	-0.888888888888896	-0.685185185185192	-0.561728395061734	0.975308641975309	-0.320987654320992	0.796296296296296	-0.117283950617288	-0.179012345679016	-0.814814814814822	-0.216049382716054	-0.820987654320995	0.895061728395062	0.469135802469135	-0.987654320987662	-0.901234567901242	-0.592592592592599	-0.728395061728402	-0.561728395061734	0.172839506172837	-0.0246913580246948	0.950617283950617	-0.493827160493833	-0.679012345679019	-0.858024691358032	0.154320987654318	0.43827160493827
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	0.22222222222222	0.185185185185183	-0.246913580246918	0.512345679012345	0.530864197530863	0.950617283950617	-0.179012345679016	-0.179012345679016	-0.425925925925931	0.345679012345677	0.672839506172839	0.475308641975307	0.740740740740741	0.166666666666664	0.746913580246914	0.327160493827159	0.22222222222222	0.499999999999999	-0.148148148148152	0.17901234567901	0.91358024691358	0.746913580246914	0.172839506172837	0.993827160493827	-0.0679012345679049	-0.932098765432106	-0.31481481481482	0.950617283950617	-0.0370370370370405	-0.0246913580246948	0.246913580246911	0.5679012345679	0.104938271604935	-0.543209876543216	0.0740740740740711	0.456790123456789	0.586419753086419	0.962962962962963	0.814814814814815	0.975308641975309	0.302469135802467	0.993827160493827	0.864197530864198	0.777777777777778	0.388888888888887	-0.962962962962971	0.345679012345677	-0.388888888888894	-0.83333333333334	-0.888888888888896	-0.950617283950625	-0.209876543209881	0.172839506172837	-0.61728395061729	-0.222222222222227	-0.0061728395061762	-0.734567901234574	-0.870370370370378	-0.796296296296303	-0.629629629629636	-0.6604938271605	0.0185185185185153	-0.740740740740747	-0.290123456790128	-0.827160493827167	-0.962962962962971	-0.172839506172844	-0.160493827160498	-0.382716049382721	-0.0864197530864235	-0.981481481481489	0.629629629629629	-0.987654320987662	-0.0123456790123491	-0.345679012345684	0.580246913580246	0.0185185185185153	-0.6604938271605	0.22222222222222	-0.666666666666673	0.111111111111108	-0.61728395061729	-0.938271604938279	-0.154320987654325	-0.0432098765432134	-0.154320987654325	0.30864197530864	0.0617283950617253	-0.777777777777785	-0.438271604938277	-0.623456790123463	-0.40123456790124	-0.462962962962968	0.314814814814813	0.166666666666664	-0.537037037037043	0.641975308641975	0.172839506172837	0.00617283950616954	-0.796296296296303	0.623456790123456	-0.734567901234574	-0.104938271604942	-0.462962962962968	-0.234567901234572	-0.549382716049388	0.43827160493827	-0.0308641975308677	-3.33066907387547e-15	0.283950617283949	0.0493827160493796	0.469135802469135	-0.216049382716054	0.530864197530863	0.216049382716047	-0.0555555555555591	0.0617283950617253	0.197530864197528	-0.555555555555561	-0.697530864197537	-0.895061728395069	0.0493827160493796	0.765432098765432	0.376543209876542	-0.648148148148154	0.641975308641975
GOCC_THO_COMPLEX	0.22222222222222	0.185185185185183	-0.246913580246918	0.512345679012345	0.530864197530863	0.950617283950617	-0.179012345679016	-0.179012345679016	-0.425925925925931	0.345679012345677	0.672839506172839	0.475308641975307	0.740740740740741	0.166666666666664	0.746913580246914	0.327160493827159	0.22222222222222	0.499999999999999	-0.148148148148152	0.17901234567901	0.91358024691358	0.746913580246914	0.172839506172837	0.993827160493827	-0.0679012345679049	-0.932098765432106	-0.31481481481482	0.950617283950617	-0.0370370370370405	-0.0246913580246948	0.246913580246911	0.5679012345679	0.104938271604935	-0.543209876543216	0.0740740740740711	0.456790123456789	0.586419753086419	0.962962962962963	0.814814814814815	0.975308641975309	0.302469135802467	0.993827160493827	0.864197530864198	0.777777777777778	0.388888888888887	-0.962962962962971	0.345679012345677	-0.388888888888894	-0.83333333333334	-0.888888888888896	-0.950617283950625	-0.209876543209881	0.172839506172837	-0.61728395061729	-0.222222222222227	-0.0061728395061762	-0.734567901234574	-0.870370370370378	-0.796296296296303	-0.629629629629636	-0.6604938271605	0.0185185185185153	-0.740740740740747	-0.290123456790128	-0.827160493827167	-0.962962962962971	-0.172839506172844	-0.160493827160498	-0.382716049382721	-0.0864197530864235	-0.981481481481489	0.629629629629629	-0.987654320987662	-0.0123456790123491	-0.345679012345684	0.580246913580246	0.0185185185185153	-0.6604938271605	0.22222222222222	-0.666666666666673	0.111111111111108	-0.61728395061729	-0.938271604938279	-0.154320987654325	-0.0432098765432134	-0.154320987654325	0.30864197530864	0.0617283950617253	-0.777777777777785	-0.438271604938277	-0.623456790123463	-0.40123456790124	-0.462962962962968	0.314814814814813	0.166666666666664	-0.537037037037043	0.641975308641975	0.172839506172837	0.00617283950616954	-0.796296296296303	0.623456790123456	-0.734567901234574	-0.104938271604942	-0.462962962962968	-0.234567901234572	-0.549382716049388	0.43827160493827	-0.0308641975308677	-3.33066907387547e-15	0.283950617283949	0.0493827160493796	0.469135802469135	-0.216049382716054	0.530864197530863	0.216049382716047	-0.0555555555555591	0.0617283950617253	0.197530864197528	-0.555555555555561	-0.697530864197537	-0.895061728395069	0.0493827160493796	0.765432098765432	0.376543209876542	-0.648148148148154	0.641975308641975
