C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	-0.0679012345679049	0.39506172839506	0.87037037037037	0.981481481481481	0.666666666666666	0.91358024691358	0.52469135802469	-0.240740740740745	-0.555555555555561	0.111111111111108	0.26543209876543	0.487654320987653	-0.481481481481487	-0.320987654320992	-0.567901234567907	0.771604938271605	0.685185185185185	0.456790123456789	-0.172839506172844	0.0987654320987625	0.820987654320988	0.518518518518517	0.580246913580246	0.22222222222222	-0.450617283950623	-0.462962962962968	0.697530864197531	-0.166666666666671	-0.956790123456798	-0.290123456790128	0.450617283950616	0.469135802469135	-0.0246913580246948	-0.395061728395067	-0.0370370370370405	0.808641975308642	0.271604938271603	-0.0061728395061762	-0.611111111111117	0.740740740740741	-0.635802469135809	0.518518518518517	0.407407407407406	0.246913580246911	0.783950617283951	-0.765432098765439	0.666666666666666	-0.783950617283957	-0.0864197530864235	-0.932098765432106	-0.87654320987655	-0.419753086419758	-0.123456790123461	-0.549382716049388	-0.70370370370371	-0.0555555555555591	-0.567901234567907	-0.185185185185189	-0.203703703703708	-0.57407407407408	-0.722222222222229	-0.135802469135806	-0.796296296296303	-0.197530864197535	-0.154320987654325	-0.209876543209881	-0.61728395061729	-0.500000000000006	-0.185185185185189	-0.61728395061729	-0.895061728395069	0.253086419753084	-0.543209876543216	-0.734567901234574	-0.759259259259266	0.759259259259259	-0.666666666666673	0.462962962962962	0.35185185185185	-0.586419753086426	0.191358024691356	-0.500000000000006	-0.981481481481489	-0.191358024691362	0.660493827160493	-0.858024691358032	0.148148148148145	0.172839506172837	-0.648148148148154	0.0679012345678982	-0.518518518518524	-0.469135802469141	-0.518518518518524	0.0555555555555525	0.561728395061728	-0.246913580246918	-0.555555555555561	0.598765432098765	-0.561728395061734	0.148148148148145	0.382716049382714	0.537037037037036	0.401234567901233	-0.919753086419761	0.783950617283951	-0.820987654320995	0.506172839506172	0.302469135802467	-0.777777777777785	-0.79012345679013	-0.308641975308647	-3.33066907387547e-15	-0.35802469135803	0.950617283950617	0.703703703703703	0.61111111111111	0.882716049382716	0.549382716049382	-0.648148148148154	-0.691358024691364	-0.0555555555555591	-0.0308641975308677	0.462962962962962	-0.469135802469141	0.0617283950617253	0.777777777777778
GOMF_SNARE_BINDING	0.87037037037037	0.709876543209876	0.882716049382716	0.944444444444444	0.030864197530861	-0.0925925925925963	0.240740740740738	-0.308641975308647	0.382716049382714	-0.129629629629634	0.827160493827161	-0.518518518518524	-0.40123456790124	-0.728395061728402	0.0925925925925897	0.39506172839506	0.925925925925926	-0.537037037037043	-0.117283950617288	-0.166666666666671	0.104938271604935	0.333333333333331	-0.135802469135806	0.413580246913579	-0.598765432098771	0.555555555555555	0.777777777777778	0.506172839506172	0.1358024691358	0.314814814814813	0.43827160493827	0.864197530864198	0.530864197530863	0.0679012345678982	-0.586419753086426	-0.271604938271609	0.734567901234568	0.561728395061728	0.22222222222222	-0.561728395061734	-0.0246913580246948	-0.265432098765437	-0.44444444444445	0.629629629629629	0.635802469135802	-0.753086419753093	0.61111111111111	0.364197530864196	0.154320987654318	-0.253086419753091	-0.524691358024697	-0.370370370370375	-0.438271604938277	-0.475308641975314	-0.629629629629636	-0.407407407407413	-0.697530864197537	-0.339506172839511	-0.975308641975316	-0.48765432098766	-0.740740740740747	-0.722222222222229	0.166666666666664	-0.74691358024692	-0.716049382716056	-0.48765432098766	-0.950617283950625	-0.969135802469143	-0.475308641975314	-0.561728395061734	-0.858024691358032	-0.543209876543216	-0.925925925925933	-0.753086419753093	-0.950617283950625	-0.771604938271612	-0.728395061728402	0.0185185185185153	0.376543209876542	-0.895061728395069	0.154320987654318	-0.290123456790128	-0.327160493827165	-0.938271604938279	0.327160493827159	-0.469135802469141	0.617283950617283	-0.0123456790123491	-0.296296296296301	0.5679012345679	-0.814814814814822	0.030864197530861	-0.228395061728399	-0.240740740740745	-0.641975308641981	-0.580246913580253	-0.265432098765437	0.0432098765432067	-0.654320987654327	-0.0802469135802506	0.703703703703703	-0.44444444444445	0.851851851851852	0.604938271604938	0.0432098765432067	-0.53086419753087	0.802469135802469	0.209876543209874	0.475308641975307	0.598765432098765	0.1358024691358	0.283950617283949	-0.296296296296301	0.845679012345679	0.166666666666664	0.654320987654321	0.203703703703701	0.370370370370369	0.228395061728393	-0.283950617283955	-0.586419753086426	0.790123456790123	0.919753086419753	-0.388888888888894	-0.364197530864202	0.623456790123456
GOMF_MAGNESIUM_ION_BINDING	0.111111111111108	-0.197530864197535	0.345679012345677	0.444444444444443	0.925925925925926	0.919753086419753	0.864197530864198	0.1358024691358	0.401234567901233	0.52469135802469	0.716049382716049	0.820987654320988	0.283950617283949	0.48148148148148	0.141975308641973	0.888888888888889	0.345679012345677	0.475308641975307	0.820987654320988	0.487654320987653	0.580246913580246	0.907407407407407	0.888888888888889	0.104938271604935	0.425925925925924	-0.117283950617288	-0.191358024691362	-0.160493827160498	0.543209876543209	0.703703703703703	0.469135802469135	0.333333333333331	0.555555555555555	-0.160493827160498	0.561728395061728	0.030864197530861	-3.33066907387547e-15	0.0679012345678982	0.487654320987653	0.48148148148148	-0.0432098765432134	0.833333333333333	0.413580246913579	0.475308641975307	0.259259259259257	-0.0493827160493863	-0.197530864197535	-0.79012345679013	-0.623456790123463	0.333333333333331	-0.234567901234572	-0.44444444444445	0.216049382716047	-0.679012345679019	-0.364197530864202	-0.0308641975308677	-0.302469135802474	-0.592592592592599	-0.0493827160493863	0.48148148148148	-0.518518518518524	-0.450617283950623	-0.901234567901242	0.104938271604935	0.499999999999999	-0.222222222222227	-0.240740740740745	-0.555555555555561	0.030864197530861	-0.0555555555555591	-0.888888888888896	0.283950617283949	-0.814814814814822	0.450617283950616	-0.135802469135806	0.790123456790123	0.17901234567901	-0.265432098765437	-0.691358024691364	-0.0864197530864235	-3.33066907387547e-15	-0.907407407407415	-0.716049382716056	-0.0987654320987692	-0.407407407407413	-0.648148148148154	-0.709876543209883	-0.31481481481482	-0.129629629629634	-0.0925925925925963	-0.57407407407408	0.537037037037036	-0.0925925925925963	-0.716049382716056	-0.179012345679016	-0.234567901234572	0.0432098765432067	-0.061728395061732	-0.759259259259266	-0.518518518518524	-0.246913580246918	0.716049382716049	0.0370370370370339	-0.40123456790124	-0.228395061728399	-0.537037037037043	0.271604938271603	-0.135802469135806	0.0246913580246881	-0.0432098765432134	-0.740740740740747	-0.0802469135802506	-0.728395061728402	-0.166666666666671	-3.33066907387547e-15	-0.246913580246918	0.796296296296296	-0.339506172839511	-0.913580246913588	-0.629629629629636	-0.296296296296301	-0.413580246913585	0.283950617283949	0.228395061728393	-0.57407407407408	0.685185185185185
GOMF_RNA_CAP_BINDING	0.783950617283951	0.487654320987653	-0.179012345679016	0.376543209876542	0.716049382716049	0.691358024691358	0.543209876543209	0.91358024691358	0.91358024691358	0.499999999999999	0.728395061728395	0.0740740740740711	0.716049382716049	0.0246913580246881	-0.104938271604942	0.728395061728395	0.635802469135802	0.549382716049382	0.969135802469136	0.703703703703703	0.549382716049382	0.432098765432097	0.950617283950617	0.314814814814813	0.629629629629629	-0.728395061728402	0.246913580246911	-0.104938271604942	0.808641975308642	0.999999999999996	0.549382716049382	0.320987654320986	0.814814814814815	0.716049382716049	0.5679012345679	0.839506172839506	0.364197530864196	0.283950617283949	0.586419753086419	0.327160493827159	0.370370370370369	0.314814814814813	0.296296296296294	0.191358024691356	0.191358024691356	0.0370370370370339	-0.061728395061732	-0.31481481481482	-0.44444444444445	0.0987654320987625	-0.382716049382721	-0.197530864197535	0.845679012345679	-0.456790123456795	-0.635802469135809	-0.666666666666673	-0.475308641975314	-0.382716049382721	0.0679012345678982	0.370370370370369	-0.395061728395067	-0.907407407407415	-0.160493827160498	-0.191358024691362	-0.802469135802476	-0.148148148148152	-0.0925925925925963	-0.648148148148154	0.197530864197528	0.0493827160493796	-0.74691358024692	0.506172839506172	-0.981481481481489	0.203703703703701	-0.537037037037043	-0.148148148148152	-0.0123456790123491	-0.364197530864202	-0.061728395061732	0.129629629629627	-0.104938271604942	0.283950617283949	-0.388888888888894	-0.500000000000006	-0.265432098765437	-0.351851851851857	-0.166666666666671	-0.253086419753091	0.39506172839506	-0.160493827160498	-0.648148148148154	0.456790123456789	-0.117283950617288	-0.555555555555561	-0.296296296296301	0.0987654320987625	-0.580246913580253	-0.388888888888894	-0.882716049382723	-0.925925925925933	0.0123456790123424	-0.0123456790123491	0.030864197530861	-0.450617283950623	-0.290123456790128	-0.543209876543216	0.277777777777776	-0.685185185185192	0.141975308641973	-0.333333333333338	-0.555555555555561	-0.0987654320987692	-0.79012345679013	-0.0246913580246948	-0.35802469135803	-0.117283950617288	0.166666666666664	-0.388888888888894	-0.777777777777785	-0.839506172839513	-0.53086419753087	-0.456790123456795	0.246913580246911	-0.481481481481487	-0.135802469135806	0.586419753086419
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	0.783950617283951	0.487654320987653	-0.179012345679016	0.376543209876542	0.716049382716049	0.691358024691358	0.543209876543209	0.91358024691358	0.91358024691358	0.499999999999999	0.728395061728395	0.0740740740740711	0.716049382716049	0.0246913580246881	-0.104938271604942	0.728395061728395	0.635802469135802	0.549382716049382	0.969135802469136	0.703703703703703	0.549382716049382	0.432098765432097	0.950617283950617	0.314814814814813	0.629629629629629	-0.728395061728402	0.246913580246911	-0.104938271604942	0.808641975308642	0.999999999999996	0.549382716049382	0.320987654320986	0.814814814814815	0.716049382716049	0.5679012345679	0.839506172839506	0.364197530864196	0.283950617283949	0.586419753086419	0.327160493827159	0.370370370370369	0.314814814814813	0.296296296296294	0.191358024691356	0.191358024691356	0.0370370370370339	-0.061728395061732	-0.31481481481482	-0.44444444444445	0.0987654320987625	-0.382716049382721	-0.197530864197535	0.845679012345679	-0.456790123456795	-0.635802469135809	-0.666666666666673	-0.475308641975314	-0.382716049382721	0.0679012345678982	0.370370370370369	-0.395061728395067	-0.907407407407415	-0.160493827160498	-0.191358024691362	-0.802469135802476	-0.148148148148152	-0.0925925925925963	-0.648148148148154	0.197530864197528	0.0493827160493796	-0.74691358024692	0.506172839506172	-0.981481481481489	0.203703703703701	-0.537037037037043	-0.148148148148152	-0.0123456790123491	-0.364197530864202	-0.061728395061732	0.129629629629627	-0.104938271604942	0.283950617283949	-0.388888888888894	-0.500000000000006	-0.265432098765437	-0.351851851851857	-0.166666666666671	-0.253086419753091	0.39506172839506	-0.160493827160498	-0.648148148148154	0.456790123456789	-0.117283950617288	-0.555555555555561	-0.296296296296301	0.0987654320987625	-0.580246913580253	-0.388888888888894	-0.882716049382723	-0.925925925925933	0.0123456790123424	-0.0123456790123491	0.030864197530861	-0.450617283950623	-0.290123456790128	-0.543209876543216	0.277777777777776	-0.685185185185192	0.141975308641973	-0.333333333333338	-0.555555555555561	-0.0987654320987692	-0.79012345679013	-0.0246913580246948	-0.35802469135803	-0.117283950617288	0.166666666666664	-0.388888888888894	-0.777777777777785	-0.839506172839513	-0.53086419753087	-0.456790123456795	0.246913580246911	-0.481481481481487	-0.135802469135806	0.586419753086419
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.361755945819187	-0.285957184224302	-0.329650688850294	-0.467373647946417	-0.0277615991404883	0.191691096443493	0.293391755710147	0.127150040410727	-0.0566487969531231	0.540961017617866	0.0877144716601599	-0.0624756487181469	-0.268492725688482	0.239748048691716	0.528059641778237	-0.00253513078261547	-0.0399530602416158	0.565590556839162	0.00802913588986781	0.159655430336703	-0.344352153656086	-0.632665098479796	0.404697429680164	-0.0271476252521093	0.465688486208327	0.593933656766458	-0.275947998690576	-0.377984853863446	0.333822316218936	0.412351227047715	0.533763073100134	-0.304929396915551	0.384626866202064	0.0944269482665115	0.408016561257093	-0.243522731121371	-0.365647727455163	-0.211389050246876	-0.221464562173158	-0.31294209420569	0.0223642172523964	-0.316172138762376	-0.229817051659799	-0.446694478475204	-0.484952320561904	0.553447574789428	-0.436966616737514	0.493490076893919	0.35761122125548	0.313557625800308	0.441672026919992	0.446837870175735	-0.470086513264165	0.579414249941407	0.565207608125507	0.0754826612184464	0.542883585116587	0.403650284853388	0.502650743704334	0.103475255917065	0.225865682577052	-0.108626198083065	0.537584126339228	-0.280594989428364	-0.00853796113428751	0.1701585156058	0.095736024239153	0.0102583153775676	-0.500413224618886	0.324573193902974	-0.15407962644384	0.0362817532909074	-0.210545480172895	0.237289266677235	0.200452633122739	-0.453262940729808	0.292878762401213	-0.547269002364578	-0.51439243782882	0.355620379373682	-0.439109938319388	0.0236933503594877	0.178930619858953	0.121960912878215	-0.446886380392769	0.457973922094642	-0.553336754216507	0.403336357655477	0.520077496996061	0.0774265051885988	0.0240158995405261	0.289172438602056	0.42084459736217	0.0647622240629001	-0.343528899215798	0.0926307012470755	0.189962874051907	-0.394425184480241	0.255117016026391	-0.486515110898213	-0.456617964813764	-0.0737617416923333	-0.168157087274221	0.13810564478488	-0.0737900840137251	0.471916734467089	-0.386863104341109	-0.270416539885386	0.405770766773164	-0.510121858124345	-0.213683053351196	-0.250415220124334	0.369134137854681	-0.567557166352939	-0.561894488700258	-0.611024609921222	-0.562025477492961	-0.360105034951594	-0.546815529934709	-0.141112058544166	0.377973307224573	-0.607537478495945	-0.515753841472688	-0.204343015838967	-0.284871175093594	-0.20573701795437
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING	0.653250773993807	0.42181229216833	-0.411764705882353	-0.186486200418086	-0.273839009287925	-0.839181286549713	0.0340557275541793	-0.139318885448915	0.820378543354632	-0.0804953560371499	0.0433436532507763	-0.366430782839452	0.170947086968758	-0.260061919504642	0.752321981424149	0.24420818973071	0.582043343653252	-0.559167526659789	0.337416213291652	0.646559079495868	-0.671826625387001	-0.0928792569659425	-0.322414860681114	-0.650154798761613	-0.631578947368424	0.591331269349845	-0.506980366517318	-0.572755417956658	-0.601739873581012	-0.693120055039563	-0.309691025827495	-0.0588235294117632	-0.316732778637769	0.492260061919505	0.84135241672165	0.618342871438847	0.262920815552396	0.4561875899359	-0.708978328173379	-0.70331639520797	-0.0433324764448796	-0.668730650154802	-0.220090239278082	-0.513931888544894	0.0588235294117671	-0.224697438784125	-0.423188462593567	0.625386996904025	0.588235294117647	-0.517027863777091	0.681114551083591	0.431610254983128	-0.482972136222913	0.728034589516387	0.791669891640867	-0.54128302038519	-0.260061919504642	0.690402476780186	-0.321981424148608	-0.0216718266253872	0.730650154798762	-0.702754999581628	0.63489793776565	-0.746130030959758	0.0791128022120858	-0.907303370786521	-0.60641016076691	-0.368885448916406	-0.291942457563787	0.0896825251433488	0.634674922600618	-0.591331269349847	-0.433436532507742	-0.622291021671829	-0.0956369302687953	-0.411764705882352	-0.47058823529412	-0.884462869502531	0.159512185440978	0.0990712074303426	-0.65682062298604	-0.63947368421053	0.548097316008874	0.494675860774932	-0.621140682250693	0.638990779378113	-0.386996904024768	0.322156969135999	-0.086687306501546	-0.628482972136225	-0.41795665634675	0.0557275541795664	0.788506191950464	0.104819063086841	-0.47058823529412	0.0154798761609906	0.681344330495356	-0.841379370659957	-0.0216718266253865	-0.107574999662011	-0.402476780185758	-0.197317785943693	0.793647577520951	0.597523219814243	0.719026548672565	0.597635392829901	0.448916408668731	0.795722967549593	0.777089783281733	0.478967902950654	0.696594427244582	0.295537399014417	0.814241486068112	-0.780185758513937	-0.601666635768713	0.256214064573199	0.11126160990712	-0.684210526315793	-0.421289710763395	0.0309597523219814	0.221522365752109	-0.688843886509186	0.444714727996462	0.441310770883697	0.179154471201092	-0.0123839009287902
GOMF_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	0.641975308641975	0.0987654320987625	0.518518518518517	-0.0987654320987692	0.327160493827159	0.17901234567901	0.376543209876542	0.141975308641973	0.592592592592592	0.48148148148148	0.246913580246911	0.358024691358023	-0.0679012345679049	-0.0246913580246948	0.61111111111111	0.191358024691356	0.87037037037037	0.808641975308642	0.660493827160493	0.895061728395062	0.327160493827159	0.185185185185183	0.35185185185185	-0.327160493827165	0.561728395061728	0.901234567901235	-0.382716049382721	-0.728395061728402	0.283950617283949	0.61111111111111	-0.580246913580253	-0.117283950617288	0.314814814814813	-0.567901234567907	0.796296296296296	-0.388888888888894	-0.765432098765439	-0.950617283950625	-0.697530864197537	-0.31481481481482	0.419753086419752	-0.728395061728402	-0.598765432098771	-0.79012345679013	-0.0432098765432134	-0.827160493827167	-0.870370370370378	0.382716049382714	-0.858024691358032	-0.0370370370370405	0.851851851851852	0.141975308641973	-0.222222222222227	0.030864197530861	0.537037037037036	-0.802469135802476	-0.259259259259264	0.197530864197528	-0.104938271604942	-0.0802469135802506	0.0679012345678982	-0.185185185185189	0.197530864197528	-0.629629629629636	0.969135802469136	-0.83333333333334	-0.858024691358032	-0.845679012345686	-0.858024691358032	0.407407407407406	0.672839506172839	0.993827160493827	0.0802469135802439	0.432098765432097	0.1358024691358	-0.203703703703708	0.820987654320988	0.209876543209874	-0.160493827160498	-0.44444444444445	-0.740740740740747	-0.320987654320992	0.1358024691358	0.685185185185185	-0.35802469135803	0.808641975308642	-0.716049382716056	-0.864197530864205	0.425925925925924	-0.549382716049388	-0.0864197530864235	-0.283950617283955	-0.481481481481487	-0.956790123456798	-0.913580246913588	-0.0925925925925963	0.240740740740738	-0.462962962962968	0.216049382716047	-0.135802469135806	-0.135802469135806	-0.932098765432106	-0.172839506172844	0.376543209876542	-0.975308641975316	0.314814814814813	0.0432098765432067	-0.870370370370378	0.172839506172837	-0.160493827160498	-0.567901234567907	-0.419753086419758	0.796296296296296	-0.302469135802474	-0.370370370370375	-0.061728395061732	0.345679012345677	-0.672839506172846	0.0493827160493796	-0.827160493827167	0.858024691358025	-0.111111111111115	-0.135802469135806	0.833333333333333	-0.0493827160493863	0.444444444444443
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	0.378942530959752	0.0368321893282523	-0.665634674922604	-0.910216718266261	-0.473684210526319	-0.325441083218319	-0.272445820433436	-0.455108359133129	-0.829256965944277	0.619264153029633	-0.845201238390099	0.291295269637844	-0.659442724458209	0.653057275541796	0.84609008289224	-0.53869969040248	-0.73993808049536	0.683550948983712	-0.777089783281738	-0.0743034055727522	-0.429934210526317	-0.900928792569667	-0.0588235294117629	-0.542394886647358	0.0464396284829721	0.676563754156633	-0.770897832817343	-0.870936532507747	-0.517027863777091	-0.547987616099072	0.208287262273331	-0.848297213622297	0.065015479876162	-0.631578947368423	0.672537336682439	-0.660050267984957	-0.746130030959758	-0.699690402476783	-0.848297213622297	-0.560371517027867	0.534337179848016	-0.758487694810308	-0.743034055727559	-0.64701973293305	-0.823529411764711	0.202243426828704	-0.965855534302231	0.566563467492261	0.736444534673231	0.681888544891641	0.953560371517028	0.752321981424148	-0.64780415090013	0.910216718266254	0.928792569659443	0.699690402476779	0.678018575851393	0.891640866873065	0.913312693498452	0.736842105263158	0.8328173374613	0.675170620734482	0.727554179566564	0.693498452012384	0.436532507739939	0.00928792569659581	0.269644247753993	0.770897832817337	-0.00309597523219696	0.736842105263159	0.420527739226362	0.0482498997150902	0.617389060887513	0.755417956656347	0.764705882352942	-0.584438093726022	0.78328173374613	-0.161919504643959	-0.674922600619199	0.68348047102086	-0.798761609907126	0.396303258145363	0.670919816073424	0.397949646591506	-0.773993808049541	0.944272445820434	-0.773924148606817	0.639832470125286	0.716447190081466	-0.0866873065015454	0.780185758513931	0.794221475496489	0.75204991087344	-0.619103156763788	-0.269349845201236	0.86687306501548	0.505250773993808	-0.721362229102172	0.625789789600051	0.0588235294117647	-0.75851393188855	-0.506072874493927	-0.783281733746135	0.0152171873534095	-0.493457681968174	0.885448916408669	-0.662628582842309	-0.563467492260064	-0.791288883974646	-0.632003616537444	-0.148606811145508	0.178688378185283	0.511570359991865	-0.699690402476784	-0.885448916408676	-0.783281733746135	-0.687306501547991	-0.702786377708982	-0.634674922600622	0.647170278637771	0.81733746130031	-0.888544891640874	-0.876160990712082	-0.698400412796703	0.18393439879508	-0.814241486068118
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	0.240127388535033	-0.629751236093946	-0.682039904330318	-0.400473484848484	0.165314859762677	0.27469916502947	0.378498427672956	0.23925925925926	-0.272011080870914	0.525	-0.163644918444164	0.431772586980922	-0.549008899676376	0.734375	0.545006613756614	0.476923076923078	-0.538225806451619	0.783804060017653	0.234874429223746	0.764812428407789	-0.172873018120045	-0.605454446381866	0.348974705304519	-0.295376064333016	0.469932049830126	0.499478429985857	-0.668726258309597	-0.718750000000005	0.270322986577181	0.396943960511036	0.144660194174757	-0.714927685950419	0.246113831089352	0.299156096563012	0.727001182965299	0.131250000000001	-0.678125000000006	-0.639590392061961	-0.649400327771162	-0.0873715753424648	0.153125000000001	-0.479612778958551	-0.428420424978317	-0.671328475336329	-0.569185323383085	0.517553744798891	-0.701408450704232	0.578924781523096	0.00238948626045582	0.536708860759493	0.692116116751266	0.695919223394056	-0.213474462365588	0.662692122958694	0.658597459639126	0.302262390213302	0.679002004581902	0.53804190751445	0.840199209245742	0.445184426229509	0.348283879539417	0.0687500000000011	0.341449890470975	0.462628865979381	0.50625	1.11022302462516e-15	0.399999999999999	0.31091911764706	-0.49211169796557	0.200047303689689	-0.239524711399708	0.317047155688624	-0.241942649434568	0.568030216647661	0.644044167803547	-0.0611487617135194	0.694044811320753	-0.587500000000002	-0.637500000000005	0.809730756791721	-0.615373273878026	-0.112499999999999	0.226923465266559	0.541728336921421	-0.76617544268407	0.70952458376691	-0.750000000000006	0.245610516934046	0.716114457831324	0.200050813008132	-0.172395247469065	0.677813667496887	0.429258534850641	-0.243435929648237	-0.642771391152506	0.811113886113886	0.0858462696941635	-0.362369142572281	-0.138241308793453	-0.590625000000002	-0.561983401084011	-0.173262195121951	-0.701165519399254	0.273473198594026	-0.0671791799786999	0.631212121212122	-0.693049761620982	-0.136898612750885	0.489617083946982	-0.712500000000005	-0.219200408618125	-0.494599377123439	0.322429363376252	-0.737485047846896	-0.580597680642284	-0.798198891625622	-0.44534952606635	-0.593813638799573	-0.515625000000002	-0.614639748549322	0.613971303501945	-0.853125000000009	-0.724765141467738	0.236482142857144	-0.360865027829309	-0.109081652443753
