	cluster	GOBP_PROTEIN_POLYUBIQUITINATION	GOBP_PROTEIN_MONOUBIQUITINATION	GOBP_HISTONE_MONOUBIQUITINATION	GOBP_UBIQUITIN_RECYCLING	GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION	GOBP_HISTONE_UBIQUITINATION	GOBP_HISTONE_UBIQUITINATION	GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_HISTONE_UBIQUITINATION	GOBP_HISTONE_H2A_UBIQUITINATION	GOBP_HISTONE_H2B_UBIQUITINATION	GOBP_HISTONE_H2A_MONOUBIQUITINATION	GOBP_PROTEIN_K29_LINKED_UBIQUITINATION	GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION	GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION	GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_PROTEIN_K27_LINKED_UBIQUITINATION	GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	GOBP_PROTEIN_AUTOUBIQUITINATION	GOBP_UBIQUITIN_DEPENDENT_ENDOCYTOSIS	GOBP_PROTEIN_K63_LINKED_UBIQUITINATION	GOBP_HISTONE_H2A_K63_LINKED_UBIQUITINATION	GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION	GOBP_PROTEIN_K48_LINKED_UBIQUITINATION	GOBP_PROTEIN_K11_LINKED_UBIQUITINATION	GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION	GOBP_PROTEIN_K6_LINKED_UBIQUITINATION	GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION	GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION	GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_HISTONE_H2B_UBIQUITINATION	GOCC_UBIQUITIN_LIGASE_COMPLEX	GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX	GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX	GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOMF_UBIQUITIN_LIKE_MODIFIER_ACTIVATING_ENZYME_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	GOMF_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GOMF_UBIQUITIN_CONJUGATING_ENZYME_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY	GOMF_UBIQUITIN_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING	GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY	GOMF_LYS63_SPECIFIC_DEUBIQUITINASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	GOMF_K63_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVATOR_ACTIVITY	GOMF_LYS48_SPECIFIC_DEUBIQUITINASE_ACTIVITY	GOMF_UBIQUITIN_SPECIFIC_PROTEASE_BINDING	GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY
GO		Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Biological_Process	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Cellular_Component	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function	Molecular_Function
C1	COVID_19	-0.118584068	-0.116044889	0.594427245	-0.900928793	-0.900928793	0.32271773	0.32271773	-0.172848842	0.387660327	0.777655416	-0.540832824	-0.796296296	-0.441612451	0.117283951	0.360563244	0.117283951	0.594427245	-0.682337351	0.145510836	0.592592593	1.61E-15	-0.86996904	-0.673309628	-0.742236025	0.160493827	-0.193722779	-0.172839506	-0.269780114	0.351851852	0.014987462	-0.4114266	-0.500459689	0.014987462	-0.535480859	0.395061728	-0.969135802	-0.866873065	-0.866873065	-0.866873065	-0.708096366	0.160493827	-0.801857585	-0.540832824	0.117283951	-0.088031846	-0.346672528	0.084655905	0.607915361	-0.395061728	0.139030408	-0.246895522	0.117487161	0.858024691	0.833333333	-0.596575227	0.597416296	0.385983535	0.672692813	-0.116169071	0.523219814	-0.684347467	-0.046375935	0.233169935	-0.049952132	-0.214736739	-0.369032378	-0.771604938	-0.820987654	-0.451684235	-0.201222261	0.523219814	-0.771604938	-0.820987654	-0.969135802	-0.685185185
C10	COVID_19	-0.302292176	0.298337411	0.4968879	0.731250972	0.731250972	0.377171699	0.377171699	0.212576617	-0.175472833	-0.250275831	0.559273159	0.691358025	0.540356032	0.166666667	0.506796167	0.166666667	0.4968879	0.24514902	0.160603715	0.598765432	0.507739938	0.664270972	0.235445349	0.742017266	-0.99382716	0.075297082	0.327160494	-0.227994767	0.555555556	-0.170571399	-0.357989957	-0.038270021	-0.170571399	0.800059154	-0.697530864	0.351851852	-0.670462922	-0.670462922	-0.670462922	0.285032571	-0.99382716	0.959752322	0.559273159	0.166666667	-0.126050441	0.72396396	-0.298481308	-0.418508198	0.518518519	-0.129111371	-0.335761407	-0.306793263	0.475308642	0.030864198	-0.430789122	0.42265309	0.29602919	0.113773148	-0.159659027	0.53250774	-0.067922297	0.271483	0.143211715	0.414349846	-0.140598024	-0.071251949	0.919753086	0.37654321	-0.350367884	-0.086547164	0.53250774	0.919753086	0.37654321	0.351851852	0.018518519
C100	COVID_19	0.060535759	0.391176471	0.777089783	-0.337764346	-0.337764346	0.801724995	0.801724995	0.369130221	-0.820433437	0.443506861	-0.175443089	0.759259259	-0.407866204	1	0.779503106	1	0.777089783	-0.458525614	-0.470588235	-0.395061728	0.604594427	-0.071138324	0.68173575	0.695652174	0.024691358	0.356163145	0.697530864	-0.198262577	0.567901235	0.608093744	0.151655947	0.296895156	0.608093744	-0.066699465	-0.925925926	-0.722222222	-0.209195196	-0.209195196	-0.209195196	0.560714685	0.024691358	0.585139319	-0.175443089	1	0.214370375	0.087242011	0.669445972	0.178940918	0.919753086	0.289354472	0.633545929	-0.13539817	-0.067901235	0.981481481	0.82997936	0.693361983	0.610505561	-0.110663842	0.101921046	0.423044949	0.328443204	-0.04341139	0.374613003	0.209633581	-0.060535906	0.29777002	0.722222222	0.962962963	0.384409721	-0.054070987	0.423044949	0.722222222	0.962962963	-0.722222222	0.203703704
C101	COVID_19	-0.186350772	-0.122452985	0.79636568	-0.479876161	-0.479876161	0.807978263	0.807978263	0.095506054	-0.696594427	0.186915888	-0.360657871	0.25308642	-0.420680679	0.888888889	0.733619625	0.888888889	0.79636568	-0.559006211	-0.003095975	0.555555556	0.281733746	-0.365325077	0.087227414	0.132335553	0.203703704	-0.168277845	0.333333333	-0.3568878	0.080246914	-0.428048516	-0.226621587	-0.215602389	-0.428048516	-0.307453416	-0.87654321	-0.49382716	-0.73374613	-0.73374613	-0.73374613	-0.130434783	0.203703704	-0.325077399	-0.360657871	0.888888889	-0.120035222	-0.16875	-0.249221184	0.357366771	-0.074074074	-0.058486136	-0.327131649	-0.650388457	0.314814815	0.882716049	-0.456075851	0.604361371	0.187801163	-0.223424971	-0.170262132	0.052631579	-0.065690876	0.032403848	-0.200286664	0.042702713	-0.346083142	0.06443742	-0.185185185	0.277777778	-0.040742259	-0.328297404	0.052631579	-0.185185185	0.277777778	-0.49382716	0.759259259
C102	COVID_19	0.121168915	0.379089597	0.633879065	-0.077399381	-0.077399381	0.506843082	0.506843082	-0.128528077	0.778174302	-0.339506644	0.053459119	0.104938272	0.053291536	-0.049382716	0.531761989	-0.049382716	0.633879065	0.304768583	0.780185759	0.290123457	0.427221128	-0.009287926	-0.066496069	-0.335403727	0.438271605	0.168150394	0.783950617	-0.161148085	0.851851852	0.364967331	0.071509327	-0.128118612	0.364967331	0.513250915	0.759259259	0.327160494	0.448916409	0.448916409	0.448916409	-0.02173913	0.438271605	-0.334365325	0.053459119	-0.049382716	0.158495419	-0.209864631	0.334565279	0.193350005	0.50617284	0.012025957	0.18364486	-0.032026851	-0.074074074	-0.240740741	-0.359133127	0.08411215	-0.080370027	0.074228178	0.125409431	0.180985038	0.016257378	-0.048815285	-0.303996623	0.008948099	0.331049869	-0.169811321	-0.185185185	-0.648148148	0.010921151	0.057311562	0.180985038	-0.185185185	-0.648148148	0.327160494	-0.209876543
C103	COVID_19	0.097879982	0.329059214	-0.819852941	0.188280601	0.188280601	-0.123214465	-0.123214465	0.179222178	-0.668516701	-0.287394465	0.161393812	0.135802469	0.188576891	-0.75308642	0.110395031	-0.75308642	-0.819852941	-0.393107594	-0.441330171	0.611111111	0.572747356	-0.414145102	-0.164857491	0.363610698	-0.87037037	0.624631874	0.851851852	-0.506908142	-0.882716049	0.670807453	0.178676339	0.117121436	0.670807453	-0.332298137	0.012345679	-0.561728395	0.462370057	0.462370057	0.462370057	-0.170662284	-0.87037037	0.489164087	0.161393812	-0.75308642	0.142696126	0.489757671	0.723155661	-0.488120034	0.987654321	0.064964688	0.606053368	0.211027778	-0.62962963	-0.061728395	0.482649639	-0.624610592	0.223317705	0.4066	0.245405915	-0.82606155	0.384815292	-0.006022184	-0.506138877	0.118083067	0.514304254	0.380582958	0.271604938	0.783950617	0.291459875	0.275394759	-0.82606155	0.271604938	0.783950617	-0.561728395	-0.611111111
C11	COVID_19	-0.161630675	-0.287165642	0.510835913	-0.074303406	-0.074303406	0.209154156	0.209154156	-0.45645747	0.170166927	0.488224974	-0.214460163	-0.185185185	-0.244809146	0.450617284	0.126401549	0.450617284	0.510835913	0.102484472	0.808049536	0.203703704	-0.597351221	0.161053638	0.314641745	0.313664596	0.462962963	-0.46800903	-0.777777778	-0.081292758	0.75308642	-0.572926661	-0.124187864	-0.430241113	-0.572926661	0.30931677	-0.296296296	-0.259259259	-0.752188399	-0.752188399	-0.752188399	0.288819876	0.462962963	0.164086687	-0.214460163	0.450617284	-0.005198839	-0.273828678	-0.450167623	0.603344768	-0.641975309	0.075592674	-0.103607678	-0.511819091	0.395061728	0.265432099	-0.63198579	0.53271028	0.267504112	0.412472648	-0.171581625	0.547776527	-0.052497575	0.084911689	-0.75125538	0.092733196	-0.238623689	0.048765158	0.216049383	-0.839506173	-0.144342948	-0.307241122	0.547776527	0.216049383	-0.839506173	-0.259259259	0.574074074
C12	COVID_19	0.013833499	-0.560128281	-0.590765214	-0.465352185	-0.465352185	-0.328064871	-0.328064871	-0.342230975	0.46749226	0.169824258	-0.12554755	-0.814814815	0.034441208	-0.49382716	-0.3256917	-0.49382716	-0.590765214	-0.061410032	0.557275542	-0.62962963	-0.767801858	-0.686926457	-0.18881544	-0.194464556	-0.012345679	-0.247257462	-0.685185185	-0.221734106	-0.111111111	-0.865951743	-0.202370296	-0.191965176	-0.865951743	-0.255815029	0.796296296	-0.858024691	-0.712074303	-0.712074303	-0.712074303	0.083850932	-0.012345679	0.088403293	-0.12554755	-0.49382716	-0.091706539	0.428885561	-0.572132124	0.388371865	0.358024691	-0.040138975	-0.048762772	-0.195439271	0.24691358	-0.722222222	-0.058515118	-0.322724594	-0.277337375	-0.158958774	-0.098708785	-0.210526316	-0.301150152	0.02287357	-0.06501548	-0.061101134	0.20100364	-0.349338005	-0.314814815	-1	-0.020183546	-0.051869963	-0.210526316	-0.314814815	-1	-0.858024691	0.617283951
C13	COVID_19	-0.024626636	0.106794222	0.463946288	0.030959752	0.030959752	0.576547284	0.576547284	-0.269732072	0.371332744	0.205408699	-0.489148809	-0.061728395	-0.50159915	0.561728395	0.568961663	0.561728395	0.463946288	0.43814886	0.86996904	0.222222222	-0.589596025	0.640328017	0.54517134	0.543478261	0.685185185	-0.09746713	0.074074074	0.109827035	0.50617284	-0.410072648	0.397202947	0.277666158	-0.410072648	0.463313765	0.308641975	-0.166666667	-0.352941176	-0.352941176	-0.352941176	0.459627329	0.685185185	0.26625387	-0.489148809	0.561728395	0.175494174	-0.039003404	0.214935229	0.3460141	0.666666667	0.228364958	0.344755971	-0.002302221	0.277777778	0.018518519	-0.226586687	0.607210422	0.425908192	0.233978726	-0.10713258	-0.403718024	-0.139642165	0.325730357	-0.495356037	0.365988376	0.382087047	0.155769096	0.302469136	-0.777777778	0.423019535	-0.340119067	-0.403718024	0.302469136	-0.777777778	-0.166666667	0.271604938
